Date,BT_center [K],BT_background [K]
01/03/21 00:24,282.9162151,285.0697433
01/03/21 01:12,283.6959384,285.7056608
01/03/21 02:00,280.7638168,281.8831958
02/03/21 00:54,283.3770508,286.7468662
02/03/21 01:42,281.7304137,284.2173438
02/03/21 23:42,279.2295952,283.0254699
03/03/21 00:36,282.7017293,285.5096424
03/03/21 01:24,282.4792721,285.5455996
04/03/21 00:18,281.6901965,285.7382216
04/03/21 01:06,283.0987772,286.0702485
04/03/21 01:54,280.5906109,282.8148612
04/03/21 23:54,279.7304637,284.1276405
05/03/21 00:48,284.4345823,286.5018275
05/03/21 01:36,282.1878882,284.0930262
06/03/21 00:30,281.9584889,285.1973194
06/03/21 01:18,273.8897477,274.5225879
07/03/21 00:12,281.8051105,284.1642989
07/03/21 01:00,283.9479133,286.2056505
07/03/21 01:48,282.0965099,282.9627757
07/03/21 23:48,279.6312921,280.3694109
08/03/21 00:42,283.5386828,286.0745797
08/03/21 01:30,282.9369742,284.5707217
09/03/21 00:24,284.0818401,285.2997583
09/03/21 01:12,283.6002842,285.6477243
09/03/21 02:00,280.7909868,281.2698128
10/03/21 00:00,273.1771495,266.9244386
10/03/21 00:54,280.5129523,286.5863684
10/03/21 01:42,265.8821415,268.990857
10/03/21 23:42,277.879939,274.6846275
11/03/21 00:36,273.3845872,280.6525971
11/03/21 01:24,282.4595137,285.2234882
12/03/21 00:18,280.8440002,284.7136039
12/03/21 01:06,282.815048,286.0001244
12/03/21 01:54,280.0627742,283.513394
12/03/21 23:54,279.906696,284.1574565
13/03/21 00:48,284.7206297,286.0266054
13/03/21 01:36,282.1721916,285.1512346
14/03/21 00:30,271.3602238,271.2279202
14/03/21 01:18,270.3612936,269.7942476
15/03/21 01:00,282.1346893,286.644748
15/03/21 01:48,258.1338938,258.3564837
15/03/21 23:48,NaN,NaN
16/03/21 00:42,264.6902662,263.1772955
16/03/21 01:30,NaN,NaN
17/03/21 00:24,278.4139842,279.6728706
17/03/21 01:12,NaN,NaN
17/03/21 02:00,277.7204557,277.674842
18/03/21 00:54,256.9454851,260.7129239
18/03/21 01:42,250.151733,249.4252264
18/03/21 23:42,277.3116039,281.2333295
19/03/21 00:36,280.532839,285.7912442
19/03/21 01:24,279.1731999,284.2691995
20/03/21 00:18,267.7778612,264.5971697
20/03/21 01:06,258.1266399,259.4182532
20/03/21 01:54,229.6493048,228.4852289
20/03/21 23:54,235.1525326,237.4712861
21/03/21 00:48,266.6205083,276.9711197
21/03/21 01:36,278.3390507,275.2093246
22/03/21 00:30,241.9608248,235.5940139
22/03/21 01:18,234.1944895,229.8852979
23/03/21 00:12,254.7270991,271.2563395
23/03/21 01:00,254.7040425,268.652165
23/03/21 01:48,278.6917139,265.0365256
23/03/21 23:48,274.36318,279.9027476
24/03/21 00:42,279.001948,285.4960846
24/03/21 01:30,274.3402907,283.6108502
25/03/21 00:24,281.1687103,285.0066476
25/03/21 01:12,281.7628495,285.4063018
25/03/21 02:00,278.8138893,281.2325168
26/03/21 00:00,279.9022817,284.5155318
26/03/21 00:54,282.4376927,286.0548441
26/03/21 01:42,278.639017,283.773601
26/03/21 23:42,279.2010601,283.0720135
27/03/21 00:36,281.9919902,285.8900477
27/03/21 01:24,282.4622774,285.2498223
28/03/21 00:18,282.2184225,284.3725982
28/03/21 01:06,283.6100051,285.8285849
28/03/21 01:54,280.7622517,282.3789857
28/03/21 23:54,280.4595053,283.9426698
29/03/21 00:48,283.9982112,286.6495942
29/03/21 01:36,283.0593598,285.506531
30/03/21 00:30,283.7206757,286.5833833
30/03/21 01:18,NaN,NaN
31/03/21 00:06,NaN,NaN
31/03/21 01:00,NaN,NaN
31/03/21 01:48,283.1039421,283.979013
31/03/21 23:48,279.6682731,278.6449249
01/04/21 00:42,285.1514502,286.7247264
01/04/21 01:30,271.2260875,277.5005823
02/04/21 00:24,283.2404144,286.0589075
02/04/21 01:12,285.4561513,286.5495665
02/04/21 02:00,282.1050041,282.9643465
03/04/21 00:06,284.2227328,285.7279791
03/04/21 00:54,286.0366239,285.5462356
03/04/21 01:42,278.5342958,276.446625
03/04/21 23:42,281.0181764,284.9546885
04/04/21 00:36,283.8612945,287.2908226
04/04/21 01:24,283.2519922,286.7117829
05/04/21 01:06,265.3169241,265.6341046
05/04/21 01:54,264.4499097,265.1523117
05/04/21 23:54,281.7820042,285.050383
06/04/21 00:48,284.6529572,287.5925388
06/04/21 01:36,282.7274538,285.5259057
07/04/21 00:30,278.7856657,285.9620305
07/04/21 01:18,285.0620885,287.1034853
08/04/21 00:12,279.5811913,284.3713064
08/04/21 01:00,282.8442347,286.6115474
08/04/21 01:48,279.3289898,283.5393387
08/04/21 23:48,276.7295183,282.760195
09/04/21 00:42,281.0592105,286.3934161
09/04/21 01:30,280.7416867,284.7754774
10/04/21 00:24,282.4530759,284.9007687
10/04/21 01:12,282.475045,286.3684794
10/04/21 02:00,277.4220989,280.5951883
11/04/21 00:00,280.9912298,284.2674557
11/04/21 00:54,284.5137004,286.5597596
11/04/21 01:42,281.4775464,282.5135342
11/04/21 23:42,278.4702094,282.9511253
12/04/21 00:36,286.5197977,287.0810405
12/04/21 01:24,284.5838555,285.5108464
13/04/21 00:18,259.166313,252.8541806
13/04/21 01:06,286.0918867,287.3032933
13/04/21 01:54,282.2974607,279.2773833
13/04/21 23:54,278.4985161,273.1345485
14/04/21 00:48,279.4796668,285.8964159
14/04/21 01:36,279.5237235,284.8548198
15/04/21 00:30,283.0801298,286.665681
15/04/21 01:18,277.0353383,269.7444349
16/04/21 00:06,260.0981541,258.0037763
16/04/21 01:00,242.5867529,250.7666581
16/04/21 01:48,238.3892849,237.9621945
16/04/21 23:48,280.3580001,283.722598
17/04/21 00:42,284.4594502,286.2620376
17/04/21 01:30,281.9858037,284.6264582
18/04/21 00:24,267.5616063,266.4760466
18/04/21 01:12,272.1072199,277.1014637
18/04/21 02:00,NaN,NaN
19/04/21 00:06,280.1253713,283.5329274
19/04/21 00:54,283.7083969,286.7749055
19/04/21 01:42,262.3497723,272.7304361
19/04/21 23:42,259.4154191,270.3782023
20/04/21 00:36,269.7575894,281.0540932
20/04/21 01:24,282.7515495,285.5881036
21/04/21 01:06,273.2911853,278.5336298
21/04/21 01:54,280.4867111,282.8135734
21/04/21 23:54,238.581836,237.2898793
22/04/21 00:48,242.2292738,242.3265349
22/04/21 01:36,236.9134492,238.1773579
23/04/21 00:30,250.672736,247.6835554
23/04/21 01:18,250.4580959,253.3938182
24/04/21 00:12,257.7509496,259.5010556
24/04/21 01:00,269.8077758,268.6924442
24/04/21 01:48,268.0817578,266.8671411
24/04/21 23:48,283.1569229,285.238646
25/04/21 00:42,285.3579494,287.7695416
25/04/21 01:30,284.3278401,286.3779117
26/04/21 00:24,284.2433003,286.9726958
26/04/21 01:12,284.4576064,287.0061791
26/04/21 02:00,281.9101787,283.3080812
27/04/21 00:00,247.8424061,246.3880624
