timestamp,Fecha_Satelite_UTC,Fecha_Captura_Chile,Volcan,Sensor,VRP_MW,Distancia_km,Tipo_Registro,Clasificacion Mirova,Ruta Foto,Fecha_Proceso_GitHub,Ultima_Actualizacion,Editado,Origen_Dato,Confianza_Validacion,Requiere_Verificacion,Nota_Validacion
1776058202,2026-04-13 05:30:02,2026-04-13 01:30:02,Chaiten,VIIRS375,0.07,0.0,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/Chaiten/2026-04-13/05-30-02_Chaiten_VIIRS375_VRP.png,2026-04-13 08:01:48,2026-04-13 08:01:48,NO,OCR,alta,False,"Grupo píxeles rojos Y=290 (área=31 px², dist≈2.12 km)"
1775796482,2026-04-10 04:48:02,2026-04-10 00:48:02,Chaiten,VIIRS375,0.1,0.53,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Chaiten/2026-04-10/04-48-02_Chaiten_VIIRS375_Latest.png,2026-04-10 03:05:46,2026-04-10 04:30:54,NO,latest.php,alta,False,Validado por MIROVA latest.php
1775622961,2026-04-08 04:36:01,2026-04-08 00:36:01,Chaiten,VIIRS375,0.15,1.06,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Chaiten/2026-04-08/04-36-01_Chaiten_VIIRS375_Latest.png,2026-04-08 03:50:51,2026-04-08 12:30:59,NO,ambos,alta,False,Validado por MIROVA latest.php
1775542680,2026-04-07 06:18:00,2026-04-07 02:18:00,Chaiten,VIIRS375,0.12,0.0,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/Chaiten/2026-04-07/06-18-00_Chaiten_VIIRS375_VRP.png,2026-04-07 07:01:39,2026-04-07 07:01:39,NO,OCR,alta,False,"Grupo píxeles rojos Y=291 (área=10 px², dist≈2.18 km)"
1775537641,2026-04-07 04:54:01,2026-04-07 00:54:01,Chaiten,VIIRS375,0.08,0.53,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Chaiten/2026-04-07/04-54-01_Chaiten_VIIRS375_Latest.png,2026-04-07 04:05:48,2026-04-07 06:15:51,NO,ambos,alta,False,Validado por MIROVA latest.php
1775282041,2026-04-04 05:54:01,2026-04-04 02:54:01,Chaiten,VIIRS375,0.13,0.75,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Chaiten/2026-04-04/05-54-01_Chaiten_VIIRS375_Latest.png,2026-04-04 06:05:45,2026-04-04 19:00:53,NO,ambos,alta,False,Validado por MIROVA latest.php
1775280600,2026-04-04 05:30:00,2026-04-04 02:30:00,Chaiten,VIIRS375,0.09,0.0,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/Chaiten/2026-04-04/05-30-00_Chaiten_VIIRS375_VRP.png,2026-04-04 06:31:48,2026-04-04 06:31:48,NO,OCR,alta,False,"Estrella en Y=289 (dentro límite Y=257, dist≈2.95 km)"
1772949601,2026-03-08 06:00:01,2026-03-08 03:00:01,Chaiten,VIIRS375,0.23,0.38,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Chaiten/2026-03-08/06-00-01_Chaiten_VIIRS375_Latest.png,2026-03-08 06:50:44,2026-03-08 19:00:48,NO,ambos,alta,False,Validado por MIROVA latest.php
1772948160,2026-03-08 05:36:00,2026-03-08 02:36:00,Chaiten,VIIRS375,0.18,0.0,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/Chaiten/2026-03-08/05-36-00_Chaiten_VIIRS375_VRP.png,2026-03-08 07:31:29,2026-03-08 07:31:29,NO,OCR,alta,False,"Estrella en Y=292 (dentro límite Y=257, dist≈2.76 km)"
1772687521,2026-03-05 05:12:01,2026-03-05 02:12:01,Chaiten,VIIRS375,0.08,0.38,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Chaiten/2026-03-05/05-12-01_Chaiten_VIIRS375_Latest.png,2026-03-05 14:26:19,2026-03-05 14:46:16,NO,latest.php,alta,False,Validado por MIROVA latest.php
1772084881,2026-02-26 05:48:01,2026-02-26 02:48:01,Chaiten,VIIRS375,0.03,0.75,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Chaiten/2026-02-26/05-48-01_Chaiten_VIIRS375_Latest.png,2026-02-26 05:51:07,2026-02-26 18:00:48,NO,latest.php,alta,False,Validado por MIROVA latest.php
1771999561,2026-02-25 06:06:01,2026-02-25 03:06:01,Chaiten,VIIRS375,0.18,0.38,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Chaiten/2026-02-25/06-06-01_Chaiten_VIIRS375_Latest.png,2026-02-25 05:50:44,2026-02-25 18:15:46,NO,latest.php,alta,False,Validado por MIROVA latest.php
1771998120,2026-02-25 05:42:00,2026-02-25 02:42:00,Chaiten,VIIRS375,0.31,0.0,ALERTA_TERMICA_OCR,Bajo,imagenes_satelitales/Chaiten/2026-02-25/05-42-00_Chaiten_VIIRS375_VRP.png,2026-02-25 06:31:29,2026-02-25 06:31:29,NO,OCR,alta,False,"Estrella en Y=292 (dentro límite Y=257, dist≈2.76 km)"
1771567201,2026-02-20 06:00:01,2026-02-20 03:00:01,Chaiten,VIIRS375,0.09,0.38,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Chaiten/2026-02-20/06-00-01_Chaiten_VIIRS375_Latest.png,2026-02-20 07:35:33,2026-02-22 07:00:44,NO,latest.php,alta,False,Validado por MIROVA latest.php
1770446521,2026-02-07 06:42:01,2026-02-07 03:42:01,Chaiten,VIIRS375,0.05,0.38,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Chaiten/2026-02-07/06-42-01_Chaiten_VIIRS375_Latest.png,2026-02-07 06:50:38,2026-02-07 19:15:40,NO,latest.php,alta,False,Validado por MIROVA latest.php
1769752441,2026-01-30 05:54:01,2026-01-30 02:54:01,Chaiten,VIIRS375,0.22,0.38,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Chaiten/2026-01-30/05-54-01_Chaiten_VIIRS375_Latest.png,2026-01-30 07:20:37,2026-01-30 19:00:40,NO,latest.php,alta,False,Validado por MIROVA latest.php
1769234761,2026-01-24 06:06:01,2026-01-24 03:06:01,Chaiten,VIIRS375,0.13,0.53,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Chaiten/2026-01-24/06-06-01_Chaiten_VIIRS375_Latest.png,2026-01-24 08:35:38,2026-01-24 20:00:41,NO,latest.php,alta,False,Validado por MIROVA latest.php
1769148000,2026-01-23 06:00:00,2026-01-23 03:00:00,Chaiten,VIIRS375,0.17,0.0,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/Chaiten/2026-01-23/06-00-00_Chaiten_VIIRS375_VRP.png,2026-01-23 10:04:40,2026-01-23 10:04:40,NO,OCR,alta,False,Píxeles rojos dominantes en ROI - Evento real
1768887361,2026-01-20 05:36:01,2026-01-20 02:36:01,Chaiten,VIIRS,0.33,0.0,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Chaiten/2026-01-20/05-36-01_Chaiten_VIIRS750_Latest.png,2026-01-20 05:45:38,2026-01-20 07:15:39,NO,latest.php,alta,False,Validado por MIROVA latest.php
1768887361,2026-01-20 05:36:01,2026-01-20 02:36:01,Chaiten,VIIRS375,0.26,0.38,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Chaiten/2026-01-20/05-36-01_Chaiten_VIIRS375_Latest.png,2026-01-20 06:30:42,2026-01-20 08:30:41,NO,latest.php,alta,False,Validado por MIROVA latest.php
1768886280,2026-01-20 05:18:00,2026-01-20 02:18:00,Chaiten,VIIRS375,0.07,0.0,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/Chaiten/2026-01-20/05-18-00_Chaiten_VIIRS375_VRP_VERIFICAR.png,2026-01-21 16:49:31,2026-01-21 16:49:31,NO,OCR,baja,True,"Sin puntos en ROI, VRP=0.07 MW"
