timestamp,Fecha_Satelite_UTC,Fecha_Captura_Chile,Volcan,Sensor,VRP_MW,Distancia_km,Tipo_Registro,Clasificacion Mirova,Ruta Foto,Fecha_Proceso_GitHub,Ultima_Actualizacion,Editado,Origen_Dato,Confianza_Validacion,Requiere_Verificacion,Nota_Validacion
1777102500,2026-04-25 07:35:00,2026-04-25 03:35:00,Lascar,MODIS,1.28,2.0,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-04-25/07-35-00_Lascar_MODIS_Latest.png,2026-04-25 07:35:47,2026-04-25 09:30:49,NO,ambos,alta,False,Validado por MIROVA latest.php
1777096441,2026-04-25 05:54:01,2026-04-25 01:54:01,Lascar,VIIRS,1.7,1.5,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-04-25/05-54-01_Lascar_VIIRS750_Latest.png,2026-04-25 07:35:47,2026-04-25 17:30:51,NO,ambos,alta,False,Validado por MIROVA latest.php
1777096441,2026-04-25 05:54:01,2026-04-25 01:54:01,Lascar,VIIRS375,1.41,1.19,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-04-25/05-54-01_Lascar_VIIRS375_Latest.png,2026-04-25 08:20:51,2026-04-25 19:55:51,NO,latest.php,alta,False,Validado por MIROVA latest.php
1777095360,2026-04-25 05:36:00,2026-04-25 01:36:00,Lascar,VIIRS375,1.39,0.0,ALERTA_TERMICA_OCR,Medio,imagenes_satelitales/Lascar/2026-04-25/05-36-00_Lascar_VIIRS375_VRP.png,2026-04-25 10:57:18,2026-04-25 10:57:18,NO,OCR,alta,False,"Estrella en Y=286 (dentro límite Y=257, dist≈3.14 km)"
1777095360,2026-04-25 05:36:00,2026-04-25 01:36:00,Lascar,VIIRS,1.0,0.0,ALERTA_TERMICA_OCR,Medio,imagenes_satelitales/Lascar/2026-04-25/05-36-00_Lascar_VIIRS750_VRP.png,2026-04-25 09:01:11,2026-04-25 09:01:11,NO,OCR,alta,False,"Estrella en Y=283 (dentro límite Y=257, dist≈3.33 km)"
1777093202,2026-04-25 05:00:02,2026-04-25 01:00:02,Lascar,VIIRS375,1.72,0.0,ALERTA_TERMICA_OCR,Medio,imagenes_satelitales/Lascar/2026-04-25/05-00-02_Lascar_VIIRS375_VRP.png,2026-04-25 09:31:13,2026-04-25 09:31:13,NO,OCR,alta,False,"Estrella en Y=284 (dentro límite Y=257, dist≈3.27 km)"
1777080600,2026-04-25 01:30:00,2026-04-24 21:30:00,Lascar,MODIS,1.6,1.0,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-04-25/01-30-00_Lascar_MODIS_Latest.png,2026-04-25 00:35:45,2026-04-25 07:30:46,NO,ambos,alta,False,Validado por MIROVA latest.php
1777011121,2026-04-24 06:12:01,2026-04-24 02:12:01,Lascar,VIIRS,1.06,1.68,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-04-24/06-12-01_Lascar_VIIRS750_Latest.png,2026-04-24 05:36:05,2026-04-24 16:00:53,NO,ambos,alta,False,Validado por MIROVA latest.php
1777011121,2026-04-24 06:12:01,2026-04-24 02:12:01,Lascar,VIIRS375,1.05,1.55,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-04-24/06-12-01_Lascar_VIIRS375_Latest.png,2026-04-24 06:35:50,2026-04-24 16:15:52,NO,latest.php,alta,False,Validado por MIROVA latest.php
1777010040,2026-04-24 05:54:00,2026-04-24 01:54:00,Lascar,VIIRS,1.0,0.0,ALERTA_TERMICA_OCR,Medio,imagenes_satelitales/Lascar/2026-04-24/05-54-00_Lascar_VIIRS750_VRP.png,2026-04-24 06:01:16,2026-04-24 06:01:16,NO,OCR,alta,False,"Estrella en Y=282 (dentro límite Y=257, dist≈3.40 km)"
1777010040,2026-04-24 05:54:00,2026-04-24 01:54:00,Lascar,VIIRS375,1.55,0.0,ALERTA_TERMICA_OCR,Medio,imagenes_satelitales/Lascar/2026-04-24/05-54-00_Lascar_VIIRS375_VRP.png,2026-04-24 07:19:12,2026-04-24 07:19:12,NO,OCR,alta,False,"Estrella en Y=283 (dentro límite Y=257, dist≈3.33 km)"
1777007882,2026-04-24 05:18:02,2026-04-24 01:18:02,Lascar,VIIRS375,1.15,1.5,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-04-24/05-18-02_Lascar_VIIRS375_Latest.png,2026-04-24 04:50:48,2026-04-24 06:30:57,NO,latest.php,alta,False,Validado por MIROVA latest.php
1777007882,2026-04-24 05:18:02,2026-04-24 01:18:02,Lascar,VIIRS,0.79,1.68,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Lascar/2026-04-24/05-18-02_Lascar_VIIRS750_Latest.png,2026-04-24 04:50:48,2026-04-24 05:30:50,NO,latest.php,alta,False,Validado por MIROVA latest.php
1776931200,2026-04-23 08:00:00,2026-04-23 04:00:00,Lascar,MODIS,0.19,2.0,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Lascar/2026-04-23/08-00-00_Lascar_MODIS_Latest.png,2026-04-23 06:05:46,2026-04-23 10:15:50,NO,latest.php,alta,False,Validado por MIROVA latest.php
1776924720,2026-04-23 06:12:00,2026-04-23 02:12:00,Lascar,VIIRS,1.0,0.0,ALERTA_TERMICA_OCR,Medio,imagenes_satelitales/Lascar/2026-04-23/06-12-00_Lascar_VIIRS750_VRP.png,2026-04-23 06:31:14,2026-04-23 06:31:14,NO,OCR,alta,False,"Grupo píxeles rojos Y=287 (área=30 px², dist≈1.92 km)"
1776924720,2026-04-23 06:12:00,2026-04-23 02:12:00,Lascar,VIIRS375,1.71,0.0,ALERTA_TERMICA_OCR,Medio,imagenes_satelitales/Lascar/2026-04-23/06-12-00_Lascar_VIIRS375_VRP.png,2026-04-23 07:31:04,2026-04-23 07:31:04,NO,OCR,alta,False,"Grupo píxeles rojos Y=287 (área=55 px², dist≈1.92 km)"
1776919681,2026-04-23 04:48:01,2026-04-23 00:48:01,Lascar,VIIRS375,0.13,1.5,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Lascar/2026-04-23/04-48-01_Lascar_VIIRS375_Latest.png,2026-04-23 04:05:41,2026-04-23 06:15:49,NO,ambos,alta,False,Validado por MIROVA latest.php
1776909000,2026-04-23 01:50:00,2026-04-22 21:50:00,Lascar,MODIS,1.7,1.41,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-04-23/01-50-00_Lascar_MODIS_Latest.png,2026-04-23 05:35:45,2026-04-23 06:00:52,NO,latest.php,alta,False,Validado por MIROVA latest.php
