timestamp,Fecha_Satelite_UTC,Fecha_Captura_Chile,Volcan,Sensor,VRP_MW,Distancia_km,Tipo_Registro,Clasificacion Mirova,Ruta Foto,Fecha_Proceso_GitHub,Ultima_Actualizacion,Editado,Origen_Dato,Confianza_Validacion,Requiere_Verificacion,Nota_Validacion
1777096441,2026-04-25 05:54:01,2026-04-25 01:54:01,Tupungatito,VIIRS375,0.2,5.21,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Tupungatito/2026-04-25/05-54-01_Tupungatito_VIIRS375_Latest.png,2026-04-25 08:20:51,2026-04-25 09:45:47,NO,latest.php,alta,False,Validado por MIROVA latest.php
1777011121,2026-04-24 06:12:01,2026-04-24 02:12:01,Tupungatito,VIIRS375,0.11,5.21,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Tupungatito/2026-04-24/06-12-01_Tupungatito_VIIRS375_Latest.png,2026-04-24 06:35:50,2026-04-24 16:15:52,NO,latest.php,alta,False,Validado por MIROVA latest.php
1777008242,2026-04-24 05:24:02,2026-04-24 01:24:02,Tupungatito,VIIRS375,0.31,4.89,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Tupungatito/2026-04-24/05-24-02_Tupungatito_VIIRS375_Latest.png,2026-04-24 04:50:48,2026-04-24 06:30:57,NO,latest.php,alta,False,Validado por MIROVA latest.php
1776926161,2026-04-23 06:36:01,2026-04-23 02:36:01,Tupungatito,VIIRS375,0.03,4.8,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Tupungatito/2026-04-23/06-36-01_Tupungatito_VIIRS375_Latest.png,2026-04-23 06:20:46,2026-04-23 18:00:51,NO,latest.php,alta,False,Validado por MIROVA latest.php
1776837602,2026-04-22 06:00:02,2026-04-22 02:00:02,Tupungatito,VIIRS375,0.03,4.89,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Tupungatito/2026-04-22/06-00-02_Tupungatito_VIIRS375_Latest.png,2026-04-22 04:50:52,2026-04-22 15:30:55,NO,latest.php,alta,False,Validado por MIROVA latest.php
1776752282,2026-04-21 06:18:02,2026-04-21 02:18:02,Tupungatito,VIIRS375,0.12,5.21,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Tupungatito/2026-04-21/06-18-02_Tupungatito_VIIRS375_Latest.png,2026-04-21 04:05:53,2026-04-21 09:00:53,NO,latest.php,alta,False,Validado por MIROVA latest.php
1776749401,2026-04-21 05:30:01,2026-04-21 01:30:01,Tupungatito,VIIRS375,0.2,5.21,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Tupungatito/2026-04-21/05-30-01_Tupungatito_VIIRS375_Latest.png,2026-04-21 03:35:48,2026-04-21 04:00:55,NO,latest.php,alta,False,Validado por MIROVA latest.php
1776317041,2026-04-16 05:24:01,2026-04-16 01:24:01,Tupungatito,VIIRS375,0.19,4.89,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Tupungatito/2026-04-16/05-24-01_Tupungatito_VIIRS375_Latest.png,2026-04-16 03:35:53,2026-04-16 04:00:53,NO,latest.php,alta,False,Validado por MIROVA latest.php
1776231721,2026-04-15 05:42:01,2026-04-15 01:42:01,Tupungatito,VIIRS375,0.29,5.21,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Tupungatito/2026-04-15/05-42-01_Tupungatito_VIIRS375_Latest.png,2026-04-15 13:35:47,2026-04-15 14:01:04,NO,latest.php,alta,False,Validado por MIROVA latest.php
1776231721,2026-04-15 05:42:01,2026-04-15 01:42:01,Tupungatito,VIIRS,0.32,5.41,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Tupungatito/2026-04-15/05-42-01_Tupungatito_VIIRS750_Latest.png,2026-04-15 05:20:50,2026-04-15 05:30:49,NO,latest.php,alta,False,Validado por MIROVA latest.php
1776228842,2026-04-15 04:54:02,2026-04-15 00:54:02,Tupungatito,VIIRS375,0.4,5.21,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Tupungatito/2026-04-15/04-54-02_Tupungatito_VIIRS375_Latest.png,2026-04-15 06:20:50,2026-04-15 13:30:50,NO,latest.php,alta,False,Validado por MIROVA latest.php
1776145320,2026-04-14 05:42:00,2026-04-14 01:42:00,Tupungatito,VIIRS375,0.22,0.0,ALERTA_TERMICA_OCR,Bajo,imagenes_satelitales/Tupungatito/2026-04-14/05-42-00_Tupungatito_VIIRS375_VRP.png,2026-04-14 05:31:51,2026-04-14 05:31:51,NO,OCR,alta,False,"Grupo píxeles rojos Y=282 (área=31 px², dist≈2.24 km)"
1776143522,2026-04-14 05:12:02,2026-04-14 01:12:02,Tupungatito,VIIRS375,0.1,4.89,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Tupungatito/2026-04-14/05-12-02_Tupungatito_VIIRS375_Latest.png,2026-04-14 03:50:52,2026-04-14 04:15:55,NO,latest.php,alta,False,Validado por MIROVA latest.php
1776104640,2026-04-13 18:24:00,2026-04-13 14:24:00,Tupungatito,VIIRS375,1.62,0.0,ALERTA_TERMICA_OCR,Medio,imagenes_satelitales/Tupungatito/2026-04-13/18-24-00_Tupungatito_VIIRS375_VRP.png,2026-04-13 19:31:54,2026-04-13 19:31:54,NO,OCR,alta,False,"Grupo píxeles rojos Y=282 (área=31 px², dist≈2.24 km)"
