               volcano                     tot                pc>0&v=0         pc<=in&disc=far            pc<=in&fh>in
                Lascar                    1065                     112                      20                       2
             Lastarria                    1064                      71                      13                       0
   PuyehueCordonCaulle                    1306                     122                     110                      69
                Llaima                    1255                      83                      27                       4
            Villarrica                    1262                     147                      59                       2
               Copahue                    1240                     211                      79                       3
               Chaiten                    1312                     119                      49                      12
                Isluga                    1021                     133                      29                      11
           Tupungatito                    1173                      65                      23                       1
       PlanchonPeteroa                    1190                     101                      22                       0
      NevadosDeChillan                    1218                     121                      33                       5
