volcano,dt_utc,sensor_raw,vrp_mw_raw,vrp_mw_meq,final_hotspot_dist_km,final_hotspot_source,distance_class,n_anomalous_pixels,granule,category,vrptir_aveni_mw,discarded_reason
PuyehueCordonCaulle,2026-04-16 08:30:00+00:00,MODIS_AQUA,1659.595,1659.595,12.66,eruption,summit,197,MYD021KM.A2026106.0830.061.2026107144127.hdf,vrp_mw_gt_100,,
PuyehueCordonCaulle,2026-01-31 08:15:00+00:00,MODIS_AQUA,1609.549,1609.549,15.78,eruption,summit,107,MYD021KM.A2026031.0815.061.2026031193107.hdf,vrp_mw_gt_100,,
PuyehueCordonCaulle,2026-05-04 06:50:00+00:00,MODIS_AQUA,1362.619,1362.619,13.52,eruption,summit,268,MYD021KM.A2026124.0650.061.2026124191450.hdf,vrp_mw_gt_100,,
NevadosDeChillan,2026-03-13 01:15:00+00:00,MODIS_TERRA,1325.037,0.0,23.66,eruption,far,50,MOD021KM.A2026072.0115.061.2026072131505.hdf,vrp_mw_gt_100,,
Villarrica,2026-01-31 06:35:00+00:00,MODIS_AQUA,1288.686,0.0,16.36,eruption,far,47,MYD021KM.A2026031.0635.061.2026031193106.hdf,vrp_mw_gt_100,,
PuyehueCordonCaulle,2026-05-04 08:30:00+00:00,MODIS_AQUA,1261.263,0.0,23.21,eruption,far,232,MYD021KM.A2026124.0830.061.2026124211318.hdf,vrp_mw_gt_100,,
Chaiten,2026-05-04 08:30:00+00:00,MODIS_AQUA,1215.667,0.0,17.35,eruption,far,258,MYD021KM.A2026124.0830.061.2026124211318.hdf,vrp_mw_gt_100,,
PuyehueCordonCaulle,2026-04-05 03:05:00+00:00,MODIS_TERRA,1097.637,0.0,29.62,eruption,far,102,MOD021KM.A2026095.0305.061.2026095131952.hdf,vrp_mw_gt_100,,
Lascar,2026-02-08 06:45:00+00:00,MODIS_AQUA,1058.565,0.0,13.21,eruption,far,43,MYD021KM.A2026039.0645.061.2026039192119.hdf,vrp_mw_gt_100,,
Villarrica,2026-04-16 08:30:00+00:00,MODIS_AQUA,1056.295,0.0,8.27,eruption,far,102,MYD021KM.A2026106.0830.061.2026107144127.hdf,vrp_mw_gt_100,,
PuyehueCordonCaulle,2026-04-03 08:25:00+00:00,MODIS_AQUA,1029.676,1029.676,17.97,eruption,summit,167,MYD021KM.A2026093.0825.061.2026093191343.hdf,vrp_mw_gt_100,,
Llaima,2026-04-16 08:30:00+00:00,MODIS_AQUA,931.289,0.0,19.1,eruption,far,97,MYD021KM.A2026106.0830.061.2026107144127.hdf,vrp_mw_gt_100,,
Lascar,2026-01-29 01:00:00+00:00,MODIS_TERRA,924.575,0.0,16.29,eruption,far,45,MOD021KM.A2026029.0100.061.2026029131608.hdf,vrp_mw_gt_100,,
Copahue,2026-02-21 01:15:00+00:00,MODIS_TERRA,911.894,0.0,16.51,eruption,far,51,MOD021KM.A2026052.0115.061.2026052131453.hdf,vrp_mw_gt_100,,
PuyehueCordonCaulle,2026-03-09 01:50:00+00:00,MODIS_TERRA,907.566,907.566,17.93,eruption,summit,256,MOD021KM.A2026068.0150.061.2026068131739.hdf,vrp_mw_gt_100,,
Chaiten,2026-05-04 06:50:00+00:00,MODIS_AQUA,899.512,0.0,21.84,eruption,far,269,MYD021KM.A2026124.0650.061.2026124191450.hdf,vrp_mw_gt_100,,
PuyehueCordonCaulle,2026-04-18 08:10:00+00:00,MODIS_AQUA,890.816,890.816,18.73,eruption,summit,513,MYD021KM.A2026108.0810.061.2026108192257.hdf,vrp_mw_gt_100,,
PuyehueCordonCaulle,2026-04-05 01:30:00+00:00,MODIS_TERRA,884.099,884.099,9.89,eruption,summit,141,MOD021KM.A2026095.0130.061.2026095131950.hdf,vrp_mw_gt_100,,
