fecha_utc,volcano,sensor,mirova_vrp_mw,mirova_class,ours_present,ours_vrp_raw,ours_vrp_meq,ours_dist_km,ours_discarded_reason,ours_granule,delta_min
2026-05-24 06:36:00+00:00,Tupungatito,VIIRS375,0.05,Muy Bajo,False,,,,,,
2026-05-24 06:36:00+00:00,PlanchonPeteroa,VIIRS375,0.05,Muy Bajo,False,,,,,,
2026-05-24 06:30:00+00:00,Lastarria,VIIRS375,0.07,Muy Bajo,False,,,,,,
2026-05-24 06:00:02+00:00,PlanchonPeteroa,VIIRS375,0.3,Muy Bajo,False,,,,,,
2026-05-24 06:00:02+00:00,Tupungatito,VIIRS375,0.13,Muy Bajo,False,,,,,,
2026-05-24 06:00:02+00:00,Lastarria,VIIRS375,0.14,Muy Bajo,False,,,,,,
2026-05-24 05:54:02+00:00,Isluga,VIIRS375,0.07,Muy Bajo,False,,,,,,
2026-05-24 05:12:01+00:00,Tupungatito,VIIRS375,0.17,Muy Bajo,False,,,,,,
2026-05-24 05:12:01+00:00,PlanchonPeteroa,VIIRS375,0.07,Muy Bajo,False,,,,,,
2026-05-24 05:12:01+00:00,Tupungatito,VIIRS,0.19,Muy Bajo,False,,,,,,
2026-05-24 05:12:01+00:00,Lascar,VIIRS375,0.21,Muy Bajo,False,,,,,,
2026-05-23 06:24:02+00:00,PuyehueCordonCaulle,VIIRS375,0.46,Muy Bajo,False,,,,,,
2026-05-23 06:18:02+00:00,Lascar,VIIRS375,0.15,Muy Bajo,False,,,,,,
2026-05-23 06:18:02+00:00,Tupungatito,VIIRS375,0.12,Muy Bajo,False,,,,,,
2026-05-23 05:36:01+00:00,Chaiten,VIIRS375,0.16,Muy Bajo,False,,,,,,
2026-05-23 05:36:01+00:00,PuyehueCordonCaulle,VIIRS375,0.28,Muy Bajo,False,,,,,,
2026-05-23 05:30:01+00:00,Tupungatito,VIIRS375,0.23,Muy Bajo,False,,,,,,
2026-05-23 05:30:01+00:00,PlanchonPeteroa,VIIRS375,0.28,Muy Bajo,False,,,,,,
2026-05-23 05:30:01+00:00,Lascar,VIIRS375,0.4,Muy Bajo,False,,,,,,
2026-05-23 05:30:01+00:00,Lastarria,VIIRS375,0.05,Muy Bajo,False,,,,,,
2026-05-23 05:30:01+00:00,Isluga,VIIRS375,0.49,Muy Bajo,False,,,,,,
2026-05-23 04:42:02+00:00,Tupungatito,VIIRS375,0.12,Muy Bajo,False,,,,,,
2026-05-22 06:42:02+00:00,PuyehueCordonCaulle,VIIRS375,0.11,Muy Bajo,False,,,,,,
2026-05-22 06:36:02+00:00,Lastarria,VIIRS375,0.04,Muy Bajo,False,,,,,,
2026-05-22 05:54:01+00:00,Villarrica,VIIRS375,0.55,Muy Bajo,False,,,,,,
2026-05-22 05:54:01+00:00,PuyehueCordonCaulle,VIIRS375,0.61,Muy Bajo,False,,,,,,
2026-05-22 05:54:01+00:00,Chaiten,VIIRS375,0.12,Muy Bajo,False,,,,,,
2026-05-22 05:48:01+00:00,Tupungatito,VIIRS375,0.07,Muy Bajo,False,,,,,,
2026-05-22 05:48:01+00:00,Lastarria,VIIRS375,0.06,Muy Bajo,False,,,,,,
2026-05-22 05:48:01+00:00,PlanchonPeteroa,VIIRS375,0.18,Muy Bajo,False,,,,,,
2026-05-21 06:12:01+00:00,PuyehueCordonCaulle,VIIRS375,0.13,Muy Bajo,False,,,,,,
2026-05-21 06:06:01+00:00,Isluga,VIIRS375,0.1,Muy Bajo,False,,,,,,
2026-05-21 06:06:01+00:00,Tupungatito,VIIRS375,0.09,Muy Bajo,False,,,,,,
2026-05-21 06:06:01+00:00,Lascar,VIIRS375,0.36,Muy Bajo,False,,,,,,
2026-05-21 05:54:00+00:00,Chaiten,VIIRS375,0.13,Muy Bajo,False,,,,,,
2026-05-21 05:48:00+00:00,Lascar,VIIRS375,0.5,Muy Bajo,False,,,,,,
2026-05-21 05:48:00+00:00,PlanchonPeteroa,VIIRS375,0.36,Muy Bajo,False,,,,,,
2026-05-21 05:48:00+00:00,Isluga,VIIRS375,0.22,Muy Bajo,False,,,,,,
2026-05-21 05:18:02+00:00,PlanchonPeteroa,VIIRS375,0.09,Muy Bajo,False,,,,,,
2026-05-21 05:12:02+00:00,Isluga,VIIRS375,0.33,Muy Bajo,False,,,,,,
2026-05-21 05:12:02+00:00,Lascar,VIIRS375,0.35,Muy Bajo,False,,,,,,
2026-05-20 05:36:02+00:00,Tupungatito,VIIRS375,0.3,Muy Bajo,False,,,,,,
2026-05-20 05:36:02+00:00,PlanchonPeteroa,VIIRS375,0.31,Muy Bajo,False,,,,,,
2026-05-20 05:30:02+00:00,Isluga,VIIRS375,0.36,Muy Bajo,False,,,,,,
2026-05-20 01:25:00+00:00,Lascar,MODIS,0.39,Muy Bajo,True,75.819,0.0,22.75,partial_eruption_hotspot_too_far,MOD021KM.A2026140.0125.061.2026140131713.hdf,0.0
2026-05-19 06:48:01+00:00,Chaiten,VIIRS375,0.05,Muy Bajo,False,,,,,,
2026-05-19 06:48:01+00:00,PuyehueCordonCaulle,VIIRS375,0.28,Muy Bajo,False,,,,,,
2026-05-19 06:24:00+00:00,Lascar,VIIRS375,0.03,Muy Bajo,False,,,,,,
2026-05-19 06:24:00+00:00,Lastarria,VIIRS375,0.17,Muy Bajo,False,,,,,,
2026-05-19 05:54:02+00:00,Lascar,VIIRS375,0.64,Muy Bajo,False,,,,,,
2026-05-19 05:06:01+00:00,Chaiten,VIIRS375,0.07,Muy Bajo,False,,,,,,
2026-05-19 05:06:01+00:00,Tupungatito,VIIRS375,0.18,Muy Bajo,False,,,,,,
2026-05-19 05:06:01+00:00,PuyehueCordonCaulle,VIIRS375,0.37,Muy Bajo,False,,,,,,
2026-05-19 05:00:01+00:00,Isluga,VIIRS375,0.23,Muy Bajo,False,,,,,,
2026-05-18 07:30:00+00:00,Lascar,MODIS,0.34,Muy Bajo,True,150.363,0.0,23.5,partial_eruption_hotspot_too_far,MYD021KM.A2026138.0730.061.2026138191724.hdf,0.0
2026-05-18 06:48:00+00:00,Tupungatito,VIIRS375,0.05,Muy Bajo,False,,,,,,
2026-05-18 06:18:02+00:00,PuyehueCordonCaulle,VIIRS375,0.51,Muy Bajo,False,,,,,,
2026-05-18 06:12:02+00:00,Lastarria,VIIRS375,0.08,Muy Bajo,False,,,,,,
2026-05-18 06:12:02+00:00,Isluga,VIIRS375,0.06,Muy Bajo,False,,,,,,
2026-05-18 06:12:02+00:00,Lascar,VIIRS375,0.24,Muy Bajo,False,,,,,,
2026-05-18 05:30:01+00:00,Chaiten,VIIRS375,0.22,Muy Bajo,False,,,,,,
2026-05-18 05:24:01+00:00,PuyehueCordonCaulle,VIIRS375,0.2,Muy Bajo,False,,,,,,
2026-05-18 05:24:01+00:00,PlanchonPeteroa,VIIRS375,0.16,Muy Bajo,False,,,,,,
2026-05-18 05:24:01+00:00,Tupungatito,VIIRS375,0.14,Muy Bajo,False,,,,,,
2026-05-18 05:24:01+00:00,Lascar,VIIRS375,0.52,Muy Bajo,False,,,,,,
2026-05-18 05:18:01+00:00,Isluga,VIIRS375,0.27,Muy Bajo,False,,,,,,
2026-05-18 04:36:02+00:00,PuyehueCordonCaulle,VIIRS375,0.45,Muy Bajo,False,,,,,,
2026-05-17 06:36:02+00:00,Chaiten,VIIRS375,0.1,Muy Bajo,False,,,,,,
2026-05-17 06:36:02+00:00,PuyehueCordonCaulle,VIIRS375,0.62,Muy Bajo,False,,,,,,
2026-05-17 05:48:01+00:00,Chaiten,VIIRS375,0.24,Muy Bajo,False,,,,,,
2026-05-17 05:48:01+00:00,Villarrica,VIIRS375,0.21,Muy Bajo,False,,,,,,
2026-05-17 05:48:01+00:00,PuyehueCordonCaulle,VIIRS375,0.41,Muy Bajo,False,,,,,,
2026-05-17 05:42:01+00:00,Tupungatito,VIIRS375,0.06,Muy Bajo,False,,,,,,
2026-05-17 05:42:01+00:00,Isluga,VIIRS375,0.25,Muy Bajo,False,,,,,,
2026-05-16 06:06:01+00:00,PuyehueCordonCaulle,VIIRS375,0.46,Muy Bajo,False,,,,,,
2026-05-16 06:00:01+00:00,Lastarria,VIIRS375,0.06,Muy Bajo,False,,,,,,
2026-05-16 06:00:01+00:00,Isluga,VIIRS375,0.08,Muy Bajo,False,,,,,,
2026-05-16 06:00:01+00:00,Lascar,VIIRS375,0.79,Muy Bajo,False,,,,,,
2026-05-15 06:24:01+00:00,Llaima,VIIRS375,0.08,Muy Bajo,False,,,,,,
2026-05-15 06:18:01+00:00,Lascar,VIIRS375,0.38,Muy Bajo,False,,,,,,
2026-05-15 06:18:01+00:00,Lastarria,VIIRS375,0.04,Muy Bajo,False,,,,,,
2026-05-15 01:25:00+00:00,Lascar,MODIS,0.86,Muy Bajo,True,70.431,0.0,23.57,partial_eruption_hotspot_too_far,MOD021KM.A2026135.0125.061.2026135131215.hdf,0.0
2026-05-14 06:42:01+00:00,PuyehueCordonCaulle,VIIRS375,0.09,Muy Bajo,False,,,,,,
2026-05-14 06:36:01+00:00,Lastarria,VIIRS375,0.11,Muy Bajo,False,,,,,,
2026-05-14 06:24:00+00:00,PuyehueCordonCaulle,VIIRS375,0.79,Muy Bajo,False,,,,,,
2026-05-14 06:18:00+00:00,Lastarria,VIIRS375,0.14,Muy Bajo,False,,,,,,
2026-05-14 06:18:00+00:00,Lascar,VIIRS375,0.62,Muy Bajo,False,,,,,,
2026-05-14 05:48:02+00:00,Villarrica,VIIRS375,0.31,Muy Bajo,False,,,,,,
2026-05-14 05:48:02+00:00,Tupungatito,VIIRS375,0.21,Muy Bajo,False,,,,,,
2026-05-14 05:48:02+00:00,Lastarria,VIIRS375,0.14,Muy Bajo,False,,,,,,
2026-05-14 05:48:02+00:00,Lascar,VIIRS375,0.96,Muy Bajo,False,,,,,,
2026-05-14 05:48:02+00:00,PlanchonPeteroa,VIIRS375,0.18,Muy Bajo,False,,,,,,
2026-05-14 05:48:02+00:00,PuyehueCordonCaulle,VIIRS375,0.84,Muy Bajo,False,,,,,,
2026-05-14 05:48:02+00:00,NevadosDeChillan,VIIRS375,0.06,Muy Bajo,False,,,,,,
2026-05-14 05:42:02+00:00,Isluga,VIIRS375,0.07,Muy Bajo,False,,,,,,
2026-05-13 07:35:00+00:00,Lascar,MODIS,0.76,Muy Bajo,True,98.421,0.0,22.82,partial_eruption_hotspot_too_far,MYD021KM.A2026133.0735.061.2026133195439.hdf,0.0
2026-05-13 06:42:00+00:00,PuyehueCordonCaulle,VIIRS375,0.1,Muy Bajo,False,,,,,,
2026-05-13 06:36:00+00:00,Lastarria,VIIRS375,0.07,Muy Bajo,False,,,,,,
2026-05-13 06:06:02+00:00,PlanchonPeteroa,VIIRS375,0.25,Muy Bajo,False,,,,,,
2026-05-13 06:06:02+00:00,Lascar,VIIRS375,0.99,Muy Bajo,False,,,,,,
2026-05-13 05:18:01+00:00,PuyehueCordonCaulle,VIIRS375,0.12,Muy Bajo,False,,,,,,
2026-05-13 05:18:01+00:00,PlanchonPeteroa,VIIRS375,0.03,Muy Bajo,False,,,,,,
2026-05-13 05:18:01+00:00,Tupungatito,VIIRS375,0.15,Muy Bajo,False,,,,,,
2026-05-12 06:30:02+00:00,PuyehueCordonCaulle,VIIRS375,0.14,Muy Bajo,False,,,,,,
2026-05-12 06:24:02+00:00,PlanchonPeteroa,VIIRS375,0.12,Muy Bajo,False,,,,,,
2026-05-12 06:24:02+00:00,Lastarria,VIIRS375,0.06,Muy Bajo,False,,,,,,
2026-05-12 05:36:01+00:00,Tupungatito,VIIRS375,0.27,Muy Bajo,False,,,,,,
2026-05-12 05:36:01+00:00,Lascar,VIIRS375,1.17,Bajo,False,,,,,,
2026-05-12 05:36:01+00:00,PlanchonPeteroa,VIIRS375,0.35,Muy Bajo,False,,,,,,
2026-05-11 06:00:01+00:00,Villarrica,VIIRS375,0.31,Muy Bajo,False,,,,,,
2026-05-11 06:00:01+00:00,PuyehueCordonCaulle,VIIRS375,0.27,Muy Bajo,False,,,,,,
2026-05-11 05:54:01+00:00,PlanchonPeteroa,VIIRS375,0.25,Muy Bajo,False,,,,,,
2026-05-11 05:54:01+00:00,Lastarria,VIIRS375,0.09,Muy Bajo,False,,,,,,
2026-05-11 05:54:01+00:00,Tupungatito,VIIRS375,0.22,Muy Bajo,False,,,,,,
2026-05-11 05:54:01+00:00,Lascar,VIIRS375,1.24,Bajo,False,,,,,,
2026-05-10 06:18:01+00:00,PlanchonPeteroa,VIIRS375,0.22,Muy Bajo,False,,,,,,
2026-05-10 06:12:01+00:00,Lastarria,VIIRS375,0.05,Muy Bajo,False,,,,,,
2026-05-10 06:12:01+00:00,Lascar,VIIRS375,0.77,Muy Bajo,False,,,,,,
2026-05-10 04:36:01+00:00,PuyehueCordonCaulle,VIIRS375,0.26,Muy Bajo,False,,,,,,
2026-05-10 01:25:00+00:00,Lascar,MODIS,1.07,Bajo,True,61.352,0.0,24.14,partial_eruption_hotspot_too_far,MOD021KM.A2026130.0125.061.2026130131748.hdf,0.0
2026-05-09 06:36:01+00:00,PuyehueCordonCaulle,VIIRS375,0.12,Muy Bajo,False,,,,,,
2026-05-09 06:30:01+00:00,Isluga,VIIRS375,0.1,Muy Bajo,False,,,,,,
2026-05-09 05:42:02+00:00,Chaiten,VIIRS375,0.08,Muy Bajo,False,,,,,,
2026-05-09 05:42:02+00:00,Tupungatito,VIIRS375,0.17,Muy Bajo,False,,,,,,
2026-05-09 05:42:02+00:00,Lastarria,VIIRS375,0.06,Muy Bajo,False,,,,,,
2026-05-09 05:42:02+00:00,PuyehueCordonCaulle,VIIRS375,0.18,Muy Bajo,False,,,,,,
2026-05-09 05:42:02+00:00,PlanchonPeteroa,VIIRS375,0.24,Muy Bajo,False,,,,,,
2026-05-09 05:36:02+00:00,Isluga,VIIRS375,0.31,Muy Bajo,False,,,,,,
2026-05-09 04:54:01+00:00,PuyehueCordonCaulle,VIIRS375,0.2,Muy Bajo,False,,,,,,
2026-05-08 07:40:00+00:00,Lascar,MODIS,0.36,Muy Bajo,True,100.172,0.0,21.91,partial_eruption_hotspot_too_far,MYD021KM.A2026128.0740.061.2026131171951.hdf,0.0
2026-05-08 06:30:00+00:00,Lastarria,VIIRS375,0.04,Muy Bajo,False,,,,,,
2026-05-08 06:00:02+00:00,Lascar,VIIRS375,1.04,Bajo,False,,,,,,
2026-05-08 05:54:02+00:00,Isluga,VIIRS375,0.13,Muy Bajo,False,,,,,,
2026-05-08 05:12:01+00:00,Lascar,VIIRS375,0.62,Muy Bajo,False,,,,,,
2026-05-08 05:06:01+00:00,Isluga,VIIRS375,0.74,Muy Bajo,False,,,,,,
2026-05-07 06:18:02+00:00,Lastarria,VIIRS375,0.08,Muy Bajo,False,,,,,,
2026-05-06 08:00:00+00:00,Lascar,MODIS,0.28,Muy Bajo,True,176.197,0.0,24.39,partial_eruption_hotspot_too_far,MYD021KM.A2026126.0800.061.2026126201244.hdf,0.0
2026-05-06 05:48:01+00:00,Isluga,VIIRS375,0.42,Muy Bajo,False,,,,,,
2026-05-06 05:48:01+00:00,Lascar,VIIRS375,1.37,Bajo,False,,,,,,
2026-05-06 04:54:02+00:00,Lascar,VIIRS375,0.03,Muy Bajo,False,,,,,,
2026-05-06 04:54:02+00:00,Isluga,VIIRS375,0.53,Muy Bajo,False,,,,,,
2026-05-05 06:06:01+00:00,Lastarria,VIIRS375,0.08,Muy Bajo,False,,,,,,
2026-05-05 06:06:01+00:00,Lascar,VIIRS375,1.28,Bajo,False,,,,,,
2026-05-05 06:06:01+00:00,Isluga,VIIRS375,0.15,Muy Bajo,False,,,,,,
2026-05-04 06:24:01+00:00,Lastarria,VIIRS375,0.09,Muy Bajo,False,,,,,,
2026-05-04 06:24:01+00:00,Isluga,VIIRS375,0.19,Muy Bajo,False,,,,,,
2026-05-04 05:36:02+00:00,Lastarria,VIIRS375,0.07,Muy Bajo,False,,,,,,
2026-05-04 05:30:02+00:00,Lascar,VIIRS375,1.4,Bajo,False,,,,,,
2026-05-04 05:30:02+00:00,Isluga,VIIRS375,0.32,Muy Bajo,False,,,,,,
2026-05-03 06:24:00+00:00,Lastarria,VIIRS375,0.04,Muy Bajo,False,,,,,,
2026-05-03 05:54:02+00:00,Lascar,VIIRS375,1.76,Bajo,False,,,,,,
2026-05-03 05:54:02+00:00,PlanchonPeteroa,VIIRS375,0.23,Muy Bajo,False,,,,,,
2026-05-03 05:54:02+00:00,PuyehueCordonCaulle,VIIRS375,0.36,Muy Bajo,False,,,,,,
2026-05-03 05:48:02+00:00,Isluga,VIIRS375,0.31,Muy Bajo,False,,,,,,
2026-05-03 05:06:01+00:00,Tupungatito,VIIRS375,0.21,Muy Bajo,False,,,,,,
2026-05-03 05:06:01+00:00,PuyehueCordonCaulle,VIIRS375,0.08,Muy Bajo,False,,,,,,
2026-05-03 05:00:01+00:00,Isluga,VIIRS375,0.24,Muy Bajo,False,,,,,,
2026-05-03 05:00:01+00:00,Lascar,VIIRS375,0.71,Muy Bajo,False,,,,,,
2026-05-03 01:45:00+00:00,Lascar,MODIS,1.14,Bajo,True,45.104,0.0,25.16,partial_eruption_hotspot_too_far,MOD021KM.A2026123.0145.061.2026123131256.hdf,0.0
2026-05-02 06:42:00+00:00,Lastarria,VIIRS375,0.1,Muy Bajo,False,,,,,,
2026-05-02 06:18:02+00:00,PuyehueCordonCaulle,VIIRS375,0.28,Muy Bajo,False,,,,,,
2026-05-02 06:12:02+00:00,Lastarria,VIIRS375,0.2,Muy Bajo,False,,,,,,
2026-05-02 06:12:02+00:00,Lascar,VIIRS375,1.94,Bajo,False,,,,,,
2026-05-02 05:24:01+00:00,PlanchonPeteroa,VIIRS375,0.21,Muy Bajo,False,,,,,,
2026-05-02 05:24:01+00:00,Tupungatito,VIIRS375,0.25,Muy Bajo,False,,,,,,
2026-05-02 05:24:01+00:00,PuyehueCordonCaulle,VIIRS375,0.34,Muy Bajo,False,,,,,,
2026-05-02 05:24:01+00:00,Lascar,VIIRS375,1.4,Bajo,False,,,,,,
2026-05-02 05:24:01+00:00,NevadosDeChillan,VIIRS375,0.03,Muy Bajo,False,,,,,,
2026-05-02 05:18:01+00:00,Isluga,VIIRS375,0.6,Muy Bajo,False,,,,,,
2026-05-02 04:36:02+00:00,PuyehueCordonCaulle,VIIRS375,0.08,Muy Bajo,False,,,,,,
2026-05-01 06:30:02+00:00,Lastarria,VIIRS375,0.09,Muy Bajo,False,,,,,,
2026-05-01 05:42:01+00:00,Lastarria,VIIRS375,0.11,Muy Bajo,False,,,,,,
2026-05-01 05:42:01+00:00,Isluga,VIIRS375,0.32,Muy Bajo,False,,,,,,
2026-05-01 05:42:01+00:00,Lascar,VIIRS375,1.56,Bajo,False,,,,,,
2026-04-30 07:30:00+00:00,Lascar,MODIS,0.99,Muy Bajo,True,96.009,0.0,22.76,partial_eruption_hotspot_too_far,MYD021KM.A2026120.0730.061.2026120191916.hdf,0.0
2026-04-30 06:06:01+00:00,PuyehueCordonCaulle,VIIRS375,0.36,Muy Bajo,False,,,,,,
2026-04-30 06:00:01+00:00,Lastarria,VIIRS375,0.05,Muy Bajo,False,,,,,,
2026-04-30 06:00:01+00:00,PlanchonPeteroa,VIIRS375,0.07,Muy Bajo,False,,,,,,
2026-04-30 06:00:01+00:00,Tupungatito,VIIRS375,0.12,Muy Bajo,False,,,,,,
2026-04-30 06:00:01+00:00,Lascar,VIIRS375,1.98,Bajo,False,,,,,,
2026-04-30 05:12:02+00:00,Tupungatito,VIIRS375,0.34,Muy Bajo,False,,,,,,
2026-04-30 05:12:02+00:00,PuyehueCordonCaulle,VIIRS375,0.28,Muy Bajo,False,,,,,,
2026-04-30 05:06:02+00:00,Lascar,VIIRS375,1.11,Bajo,False,,,,,,
2026-04-30 05:06:02+00:00,Isluga,VIIRS375,0.27,Muy Bajo,False,,,,,,
2026-04-29 06:18:01+00:00,Lastarria,VIIRS375,0.1,Muy Bajo,False,,,,,,
2026-04-29 06:18:01+00:00,Lascar,VIIRS375,0.29,Muy Bajo,False,,,,,,
2026-04-29 05:24:02+00:00,Isluga,VIIRS375,0.1,Muy Bajo,False,,,,,,
2026-04-29 05:24:02+00:00,Lascar,VIIRS375,1.69,Bajo,False,,,,,,
2026-04-28 07:50:00+00:00,Lascar,MODIS,1.31,Bajo,True,146.487,0.0,24.03,partial_eruption_hotspot_too_far,MYD021KM.A2026118.0750.061.2026121133730.hdf,0.0
2026-04-28 04:54:01+00:00,Lascar,VIIRS375,0.55,Muy Bajo,False,,,,,,
2026-04-28 04:54:01+00:00,Isluga,VIIRS375,0.15,Muy Bajo,False,,,,,,
