volcano,sensor_bucket,ventana_dias,n_ours_vrp_gt_0,n_mirova_vrp_gt_0,n_matched,n_only_ours_FP,n_only_mirova_FN,ratio_median,ratio_p25,ratio_p75,p_value_wilcoxon,max_ours,max_mirova
PuyehueCordonCaulle,MODIS,7d,14,0,0,14,0,,,,,675.077,0.0
PuyehueCordonCaulle,MODIS,30d,53,0,0,53,0,,,,,1362.619,0.0
PuyehueCordonCaulle,MODIS,90d,117,0,0,117,0,,,,,1659.595,0.0
PuyehueCordonCaulle,MODIS,all,129,0,0,129,0,,,,,1659.595,0.0
PuyehueCordonCaulle,VIIRS375,7d,0,10,0,0,37,,,,,0.0,0.61
PuyehueCordonCaulle,VIIRS375,30d,0,32,0,0,163,,,,,0.0,1.22
PuyehueCordonCaulle,VIIRS375,90d,0,63,0,0,434,,,,,0.0,5.45
PuyehueCordonCaulle,VIIRS375,all,0,102,0,0,619,,,,,0.0,5.45
PuyehueCordonCaulle,VIIRS,7d,50,0,0,50,0,,,,,18.265,0.0
PuyehueCordonCaulle,VIIRS,30d,212,4,4,208,0,1.9346907993966818,1.2601506456241032,3.3985928705440904,,212.723,0.82
PuyehueCordonCaulle,VIIRS,90d,603,9,9,594,0,2.8473684210526318,1.7820224719101123,5.809756097560976,0.00390625,504.531,0.95
PuyehueCordonCaulle,VIIRS,all,796,21,11,785,10,5.183582089552238,2.195556690500511,15.539265536723164,0.0009765625,571.161,1.34
Villarrica,MODIS,7d,0,0,0,0,0,,,,,0.0,0.0
Villarrica,MODIS,30d,4,1,0,4,1,,,,,248.301,5.89
Villarrica,MODIS,90d,11,3,0,11,3,,,,,439.568,11.93
Villarrica,MODIS,all,11,3,0,11,3,,,,,439.568,11.93
Villarrica,VIIRS375,7d,0,4,0,0,35,,,,,0.0,5.11
Villarrica,VIIRS375,30d,0,9,0,0,157,,,,,0.0,5.11
Villarrica,VIIRS375,90d,0,16,0,0,426,,,,,0.0,75.54
Villarrica,VIIRS375,all,0,20,0,0,605,,,,,0.0,75.54
Villarrica,VIIRS,7d,26,0,0,26,0,,,,,61.894,0.0
Villarrica,VIIRS,30d,128,0,0,128,0,,,,,61.894,0.0
Villarrica,VIIRS,90d,325,1,0,325,1,,,,,61.894,51.43
Villarrica,VIIRS,all,393,1,0,393,1,,,,,61.894,51.43
Lascar,MODIS,7d,0,2,0,0,2,,,,,0.0,0.39
Lascar,MODIS,30d,4,17,3,1,14,1.1035714285714286,1.0122334754797442,2.5342284623773175,,5.194,1.6
Lascar,MODIS,90d,7,61,6,1,55,1.9431000948766601,1.1462447478991598,3.6266479931051463,0.09375,8.176,11.31
Lascar,MODIS,all,8,77,6,2,71,1.9431000948766601,1.1462447478991598,3.6266479931051463,0.09375,8.176,11.31
Lascar,VIIRS375,7d,0,20,0,0,35,,,,,0.0,5.5
Lascar,VIIRS375,30d,0,71,0,0,137,,,,,0.0,5.5
Lascar,VIIRS375,90d,0,163,0,0,373,,,,,0.0,5.5
Lascar,VIIRS375,all,0,205,0,0,535,,,,,0.0,5.5
Lascar,VIIRS,7d,22,4,3,19,1,0.3971428571428572,0.3581868131868132,0.6735714285714286,,0.732,1.33
Lascar,VIIRS,30d,133,31,27,106,4,0.95,0.4464633354964309,1.4457792207792206,0.8965883553028107,5.937,2.44
Lascar,VIIRS,90d,429,79,61,368,18,0.9896396396396396,0.4674008810572687,1.748936170212766,0.5391311963674241,11.49,3.39
Lascar,VIIRS,all,533,97,75,458,22,0.95,0.4771787013981996,2.12358024691358,0.4791962733009829,12.511,4.54
Copahue,MODIS,7d,0,1,0,0,1,,,,,0.0,2.33
Copahue,MODIS,30d,0,1,0,0,1,,,,,0.0,2.33
Copahue,MODIS,90d,0,2,0,0,2,,,,,0.0,3.45
Copahue,MODIS,all,0,4,0,0,4,,,,,0.0,71.33
Copahue,VIIRS375,7d,0,6,0,0,37,,,,,0.0,8.98
Copahue,VIIRS375,30d,0,12,0,0,158,,,,,0.0,10.13
Copahue,VIIRS375,90d,0,16,0,0,427,,,,,0.0,10.13
Copahue,VIIRS375,all,0,24,0,0,605,,,,,0.0,16.31
Copahue,VIIRS,7d,22,2,0,22,2,,,,,11.117,3.09
Copahue,VIIRS,30d,102,5,0,102,5,,,,,11.245,3.09
Copahue,VIIRS,90d,258,5,0,258,5,,,,,17.717,3.09
Copahue,VIIRS,all,317,6,0,317,6,,,,,21.342,10.5
NevadosDeChillan,MODIS,7d,0,1,0,0,1,,,,,0.0,35.26
NevadosDeChillan,MODIS,30d,1,1,0,1,1,,,,,2.474,35.26
NevadosDeChillan,MODIS,90d,4,2,0,4,2,,,,,198.166,35.26
NevadosDeChillan,MODIS,all,6,4,0,6,4,,,,,198.166,70.43
NevadosDeChillan,VIIRS375,7d,0,4,0,0,33,,,,,0.0,3.01
NevadosDeChillan,VIIRS375,30d,0,9,0,0,152,,,,,0.0,3.01
NevadosDeChillan,VIIRS375,90d,0,23,0,0,415,,,,,0.0,35.9
NevadosDeChillan,VIIRS375,all,0,34,0,0,593,,,,,0.0,35.9
NevadosDeChillan,VIIRS,7d,1,0,0,1,0,,,,,1.626,0.0
NevadosDeChillan,VIIRS,30d,25,0,0,25,0,,,,,17.953,0.0
NevadosDeChillan,VIIRS,90d,87,5,0,87,5,,,,,17.953,44.16
NevadosDeChillan,VIIRS,all,143,10,0,143,10,,,,,17.953,72.7
Llaima,MODIS,7d,1,6,0,1,6,,,,,16.412,42.82
Llaima,MODIS,30d,4,8,0,4,8,,,,,56.001,42.82
Llaima,MODIS,90d,5,12,0,5,12,,,,,56.001,96.05
Llaima,MODIS,all,6,12,0,6,12,,,,,198.814,96.05
Llaima,VIIRS375,7d,0,13,0,0,35,,,,,0.0,18.1
Llaima,VIIRS375,30d,0,23,0,0,158,,,,,0.0,18.32
Llaima,VIIRS375,90d,0,42,0,0,421,,,,,0.0,50.84
Llaima,VIIRS375,all,0,44,0,0,601,,,,,0.0,50.84
Llaima,VIIRS,7d,23,3,0,23,3,,,,,18.047,27.51
Llaima,VIIRS,30d,108,4,0,108,4,,,,,20.347,27.51
Llaima,VIIRS,90d,269,13,0,269,13,,,,,20.347,52.95
Llaima,VIIRS,all,331,13,1,330,12,1.7868316831683169,1.7868316831683169,1.7868316831683169,,20.347,52.95
Chaiten,MODIS,7d,1,0,0,1,0,,,,,19.485,0.0
Chaiten,MODIS,30d,5,0,0,5,0,,,,,159.609,0.0
Chaiten,MODIS,90d,15,2,0,15,2,,,,,402.839,2.81
Chaiten,MODIS,all,16,2,0,16,2,,,,,402.839,2.81
