volcano,bucket,n_ours,n_mir,n_matched,ratio_med,ratio_p25,ratio_p75
Chaiten,MODIS,5,0,0,,,
Chaiten,VIIRS375,95,10,28,2.33125,1.5538461538461539,3.4599999999999995
Chaiten,VIIRS,37,0,0,,,
Copahue,MODIS,0,1,0,,,
Copahue,VIIRS375,97,12,13,0.5681818181818181,0.3177922077922078,5.1049999999999995
Copahue,VIIRS,14,5,0,,,
Isluga,MODIS,8,0,0,,,
Isluga,VIIRS375,92,38,77,1.1133333333333335,0.46923076923076923,3.04
Isluga,VIIRS,39,6,7,18.500000000000004,4.462790697674419,25.24074074074074
Lascar,MODIS,4,17,3,1.1035714285714286,,
Lascar,VIIRS375,85,71,83,0.7790322580645161,0.32071428571428573,1.3177083333333333
Lascar,VIIRS,56,31,44,1.0561412151067324,0.44545454545454544,1.511111111111111
Lastarria,MODIS,1,0,0,,,
Lastarria,VIIRS375,80,84,71,1.0799999999999998,0.44999999999999996,1.9
Lastarria,VIIRS,21,0,0,,,
Llaima,MODIS,4,8,0,,,
Llaima,VIIRS375,95,23,17,0.9188465499485067,0.5061705989110709,3.9374999999999996
Llaima,VIIRS,23,4,1,1.7868316831683169,,
NevadosDeChillan,MODIS,1,1,0,,,
NevadosDeChillan,VIIRS375,11,9,1,0.10312500000000001,,
NevadosDeChillan,VIIRS,13,0,0,,,
PlanchonPeteroa,MODIS,4,0,0,,,
PlanchonPeteroa,VIIRS375,98,29,70,2.5484126984126982,1.45,6.891666666666667
PlanchonPeteroa,VIIRS,14,2,0,,,
PuyehueCordonCaulle,MODIS,53,0,0,,,
PuyehueCordonCaulle,VIIRS375,121,32,76,0.5946623093681918,0.2936708860759494,1.0153846153846153
PuyehueCordonCaulle,VIIRS,90,4,12,2.153658536585366,1.1352941176470588,15.705128205128204
Tupungatito,MODIS,2,0,0,,,
Tupungatito,VIIRS375,100,34,67,13.01111111111111,6.370588235294117,26.971428571428568
Tupungatito,VIIRS,28,2,0,,,
Villarrica,MODIS,4,1,0,,,
Villarrica,VIIRS375,104,9,17,4.8145454545454545,2.1533333333333333,11.219999999999999
Villarrica,VIIRS,26,0,0,,,
