volcano,Volcan,dt,Sensor,sensor_bucket,VRP_MW,Distancia_km,clasif_clean
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-01-11 05:06:01,VIIRS375,VIIRS,0.25,8.19,Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-01-12 06:30:01,VIIRS375,VIIRS,0.28,8.1,Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-01-13 06:12:01,VIIRS375,VIIRS,1.06,8.19,Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-01-13 06:12:01,VIIRS,VIIRS,1.07,8.55,Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-01-14 05:48:01,VIIRS375,VIIRS,0.62,8.1,Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-01-16 05:12:01,VIIRS,VIIRS,0.58,8.55,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-01-16 05:12:01,VIIRS375,VIIRS,0.32,8.19,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-01-18 06:18:01,VIIRS375,VIIRS,0.25,7.73,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-01-19 05:36:00,VIIRS375,VIIRS,0.48,7.73,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-01-20 05:36:01,VIIRS,VIIRS,1.11,7.83,Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-01-20 05:36:01,VIIRS375,VIIRS,0.98,8.1,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-01-21 05:18:01,VIIRS,VIIRS,0.46,7.65,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-01-21 05:18:01,VIIRS375,VIIRS,0.9,8.1,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-01-21 06:42:00,VIIRS375,VIIRS,0.38,7.65,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-01-22 05:00:01,VIIRS375,VIIRS,0.51,8.19,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-01-22 06:18:00,VIIRS375,VIIRS,0.09,2.25,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-01-23 04:42:01,VIIRS375,VIIRS,0.39,8.66,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-01-23 06:00:00,VIIRS,VIIRS,1.34,7.83,Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-01-23 06:24:01,VIIRS375,VIIRS,0.67,7.83,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-01-23 06:24:01,VIIRS,VIIRS,0.49,7.65,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-01-24 05:42:00,VIIRS,VIIRS,0.94,7.83,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-01-24 06:06:01,VIIRS375,VIIRS,0.58,8.19,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-01-25 05:42:01,VIIRS,VIIRS,0.86,7.83,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-01-25 05:42:01,VIIRS375,VIIRS,0.65,7.73,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-01-26 05:24:01,VIIRS375,VIIRS,0.48,8.1,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-01-29 06:12:01,VIIRS375,VIIRS,0.72,8.02,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-02-01 05:12:01,VIIRS375,VIIRS,0.65,8.3,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-02-03 18:12:00,VIIRS,VIIRS,0.9,4.74,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-02-06 05:18:01,VIIRS375,VIIRS,0.19,7.83,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-02-26 05:24:00,VIIRS375,VIIRS,0.3,7.83,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-03-10 05:18:01,VIIRS375,VIIRS,0.63,8.19,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-03-10 06:42:00,VIIRS375,VIIRS,0.27,8.39,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-03-18 18:06:00,VIIRS375,VIIRS,0.52,12.11,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-04-04 05:54:01,VIIRS375,VIIRS,0.63,8.1,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-04-09 06:00:01,VIIRS,VIIRS,0.95,7.83,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-04-20 05:54:01,VIIRS375,VIIRS,0.76,8.02,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-04-30 06:06:01,VIIRS,VIIRS,0.41,7.83,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-05-02 06:18:02,VIIRS,VIIRS,0.39,7.65,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-05-17 05:48:01,VIIRS375,VIIRS,0.41,7.83,Muy Bajo
PuyehueCordonCaulle,Puyehue-Cordon Caulle,2026-05-25 05:42:02,VIIRS,VIIRS,1.01,7.83,Bajo
Villarrica,Villarrica,2026-01-13 05:48:00,VIIRS375,VIIRS,0.05,0.84,Bajo
Villarrica,Villarrica,2026-01-14 05:48:01,VIIRS375,VIIRS,0.07,0.84,Bajo
Villarrica,Villarrica,2026-01-19 05:54:01,VIIRS375,VIIRS,0.09,0.84,Muy Bajo
Lascar,Lascar,2026-01-11 05:00:01,VIIRS375,VIIRS,0.51,1.5,Bajo
Lascar,Lascar,2026-01-11 05:00:01,VIIRS,VIIRS,0.27,0.75,Bajo
Lascar,Lascar,2026-01-11 06:24:00,VIIRS375,VIIRS,0.04,1.19,Bajo
Lascar,Lascar,2026-01-12 06:24:01,VIIRS375,VIIRS,0.62,5.0,Bajo
Lascar,Lascar,2026-01-13 02:00:00,MODIS,MODIS,0.63,1.0,Bajo
Lascar,Lascar,2026-01-13 06:06:01,VIIRS,VIIRS,0.32,1.5,Bajo
Lascar,Lascar,2026-01-13 06:06:01,VIIRS375,VIIRS,0.52,1.55,Bajo
Lascar,Lascar,2026-01-14 05:48:01,VIIRS,VIIRS,1.21,1.68,Bajo
Lascar,Lascar,2026-01-15 01:45:00,MODIS,MODIS,0.89,1.0,Bajo
Lascar,Lascar,2026-01-15 05:24:01,VIIRS,VIIRS,1.31,1.68,Bajo
Lascar,Lascar,2026-01-15 05:24:01,VIIRS375,VIIRS,0.85,1.19,Muy Bajo
Lascar,Lascar,2026-01-23 05:54:00,VIIRS375,VIIRS,0.09,1.13,Muy Bajo
Lascar,Lascar,2026-01-24 06:00:01,VIIRS375,VIIRS,0.05,1.19,Muy Bajo
Lascar,Lascar,2026-01-25 05:42:01,VIIRS,VIIRS,0.39,1.5,Muy Bajo
Lascar,Lascar,2026-01-25 05:42:01,VIIRS375,VIIRS,0.49,2.73,Muy Bajo
Lascar,Lascar,2026-01-26 05:18:01,VIIRS375,VIIRS,0.3,1.19,Muy Bajo
Lascar,Lascar,2026-02-04 05:54:01,VIIRS375,VIIRS,0.34,1.5,Muy Bajo
Lascar,Lascar,2026-02-05 05:36:01,VIIRS,VIIRS,0.28,0.75,Muy Bajo
Lascar,Lascar,2026-02-09 06:00:01,VIIRS375,VIIRS,4.61,1.19,Bajo
Lascar,Lascar,2026-02-10 05:42:01,VIIRS375,VIIRS,4.14,1.5,Bajo
Lascar,Lascar,2026-02-10 18:06:01,VIIRS375,VIIRS,2.1,0.84,Bajo
Lascar,Lascar,2026-02-12 06:24:00,VIIRS,VIIRS,0.15,1.5,Muy Bajo
Lascar,Lascar,2026-02-14 06:06:01,VIIRS375,VIIRS,3.75,1.5,Bajo
Lascar,Lascar,2026-02-14 18:30:01,VIIRS375,VIIRS,1.85,1.13,Bajo
Lascar,Lascar,2026-02-16 05:30:01,VIIRS,VIIRS,4.03,1.68,Bajo
Lascar,Lascar,2026-02-19 06:12:01,VIIRS375,VIIRS,1.95,1.91,Bajo
Lascar,Lascar,2026-02-20 05:54:01,VIIRS,VIIRS,1.57,1.5,Bajo
Lascar,Lascar,2026-02-21 05:36:01,VIIRS,VIIRS,2.39,1.68,Bajo
Lascar,Lascar,2026-02-21 18:00:01,VIIRS375,VIIRS,3.17,1.55,Bajo
Lascar,Lascar,2026-02-26 05:42:01,VIIRS,VIIRS,0.21,0.75,Muy Bajo
Lascar,Lascar,2026-02-26 17:48:00,VIIRS375,VIIRS,0.63,0.84,Muy Bajo
Lascar,Lascar,2026-02-26 18:06:01,VIIRS375,VIIRS,0.53,2.02,Muy Bajo
Lascar,Lascar,2026-02-27 17:48:01,VIIRS375,VIIRS,1.12,1.19,Bajo
Lascar,Lascar,2026-02-28 05:00:01,VIIRS375,VIIRS,0.8,1.91,Muy Bajo
Lascar,Lascar,2026-03-02 06:06:01,VIIRS,VIIRS,1.3,1.68,Bajo
Lascar,Lascar,2026-03-03 05:48:01,VIIRS375,VIIRS,2.41,1.5,Bajo
Lascar,Lascar,2026-03-05 05:06:01,VIIRS,VIIRS,1.27,1.68,Bajo
Lascar,Lascar,2026-03-07 06:12:01,VIIRS,VIIRS,1.52,2.37,Bajo
Lascar,Lascar,2026-03-07 18:42:01,VIIRS375,VIIRS,1.12,0.75,Bajo
Lascar,Lascar,2026-03-08 05:54:01,VIIRS,VIIRS,3.33,1.5,Bajo
Lascar,Lascar,2026-03-09 05:36:01,VIIRS,VIIRS,2.76,1.06,Bajo
Lascar,Lascar,2026-03-13 06:00:01,VIIRS375,VIIRS,2.63,1.55,Bajo
Lascar,Lascar,2026-03-13 18:06:00,VIIRS375,VIIRS,1.59,0.84,Bajo
Lascar,Lascar,2026-03-13 18:24:01,VIIRS375,VIIRS,1.96,0.75,Bajo
Lascar,Lascar,2026-03-14 05:42:01,VIIRS,VIIRS,3.39,1.5,Bajo
Lascar,Lascar,2026-03-14 18:06:01,VIIRS375,VIIRS,1.14,0.75,Bajo
Lascar,Lascar,2026-03-15 05:24:01,VIIRS,VIIRS,1.94,1.68,Bajo
Lascar,Lascar,2026-03-15 17:48:01,VIIRS375,VIIRS,0.9,1.19,Muy Bajo
Lascar,Lascar,2026-03-16 05:00:01,VIIRS,VIIRS,0.92,1.5,Muy Bajo
Lascar,Lascar,2026-03-18 06:06:01,VIIRS375,VIIRS,1.77,1.55,Bajo
Lascar,Lascar,2026-03-19 05:48:01,VIIRS375,VIIRS,2.76,1.19,Bajo
Lascar,Lascar,2026-03-19 18:12:01,VIIRS375,VIIRS,1.26,0.75,Bajo
Lascar,Lascar,2026-03-20 05:30:01,VIIRS375,VIIRS,3.19,1.55,Bajo
Lascar,Lascar,2026-03-21 05:06:01,VIIRS375,VIIRS,1.69,1.55,Bajo
Lascar,Lascar,2026-03-23 06:12:01,VIIRS,VIIRS,1.91,1.68,Bajo
Lascar,Lascar,2026-03-24 05:54:01,VIIRS,VIIRS,3.25,1.68,Bajo
Lascar,Lascar,2026-03-24 18:18:01,VIIRS375,VIIRS,0.79,0.75,Muy Bajo
Lascar,Lascar,2026-03-25 05:36:01,VIIRS375,VIIRS,1.7,1.55,Bajo
Lascar,Lascar,2026-03-26 05:18:01,VIIRS375,VIIRS,1.84,1.68,Bajo
Lascar,Lascar,2026-03-27 04:54:01,VIIRS375,VIIRS,0.68,1.55,Muy Bajo
Lascar,Lascar,2026-03-30 05:42:01,VIIRS375,VIIRS,1.14,1.55,Bajo
Lascar,Lascar,2026-03-31 05:24:01,VIIRS375,VIIRS,1.03,1.55,Bajo
Lascar,Lascar,2026-04-01 05:00:01,VIIRS,VIIRS,0.45,2.25,Muy Bajo
Lascar,Lascar,2026-04-04 05:48:01,VIIRS,VIIRS,3.25,1.68,Bajo
Lascar,Lascar,2026-04-09 05:54:01,VIIRS,VIIRS,2.56,1.68,Bajo
Lascar,Lascar,2026-04-12 05:48:02,VIIRS,VIIRS,1.62,1.5,Bajo
Lascar,Lascar,2026-04-16 05:24:01,VIIRS375,VIIRS,1.17,1.55,Bajo
Lascar,Lascar,2026-04-16 06:12:02,VIIRS,VIIRS,1.15,1.68,Bajo
Lascar,Lascar,2026-04-17 05:54:02,VIIRS,VIIRS,2.35,1.68,Bajo
Lascar,Lascar,2026-04-18 05:30:02,VIIRS,VIIRS,1.97,1.5,Bajo
Lascar,Lascar,2026-04-19 05:12:02,VIIRS375,VIIRS,1.14,1.35,Bajo
Lascar,Lascar,2026-04-19 06:06:01,VIIRS,VIIRS,1.82,1.5,Bajo
Lascar,Lascar,2026-04-20 05:48:01,VIIRS,VIIRS,1.17,0.75,Bajo
Lascar,Lascar,2026-04-21 05:30:01,VIIRS375,VIIRS,1.75,1.35,Bajo
Lascar,Lascar,2026-04-22 06:00:02,VIIRS,VIIRS,1.02,1.5,Bajo
Lascar,Lascar,2026-04-24 05:18:02,VIIRS375,VIIRS,1.15,1.5,Bajo
Lascar,Lascar,2026-04-24 06:12:01,VIIRS,VIIRS,1.06,1.68,Bajo
Lascar,Lascar,2026-04-25 05:54:01,VIIRS,VIIRS,1.7,1.5,Bajo
Lascar,Lascar,2026-04-27 05:18:01,VIIRS375,VIIRS,1.19,1.55,Bajo
Lascar,Lascar,2026-04-27 06:06:02,VIIRS375,VIIRS,1.98,1.5,Bajo
Lascar,Lascar,2026-04-29 05:24:02,VIIRS,VIIRS,1.54,1.68,Bajo
Lascar,Lascar,2026-04-29 06:18:01,VIIRS,VIIRS,0.16,1.5,Muy Bajo
Lascar,Lascar,2026-04-30 06:00:01,VIIRS,VIIRS,2.06,1.68,Bajo
Lascar,Lascar,2026-05-01 05:42:01,VIIRS375,VIIRS,1.56,1.5,Bajo
Lascar,Lascar,2026-05-02 05:24:01,VIIRS375,VIIRS,1.4,1.68,Bajo
Lascar,Lascar,2026-05-02 06:12:02,VIIRS,VIIRS,1.89,1.68,Bajo
Lascar,Lascar,2026-05-03 05:00:01,VIIRS375,VIIRS,0.71,1.55,Muy Bajo
Lascar,Lascar,2026-05-03 05:54:02,VIIRS,VIIRS,2.13,1.68,Bajo
Lascar,Lascar,2026-05-04 05:30:02,VIIRS,VIIRS,0.7,1.06,Muy Bajo
Lascar,Lascar,2026-05-05 06:06:01,VIIRS375,VIIRS,1.28,1.55,Bajo
Lascar,Lascar,2026-05-06 05:48:01,VIIRS375,VIIRS,1.37,1.5,Bajo
Lascar,Lascar,2026-05-08 06:00:02,VIIRS375,VIIRS,1.04,1.55,Bajo
Lascar,Lascar,2026-05-10 06:12:01,VIIRS375,VIIRS,0.77,1.55,Muy Bajo
Lascar,Lascar,2026-05-11 05:54:01,VIIRS,VIIRS,1.73,1.68,Bajo
Lascar,Lascar,2026-05-12 05:36:01,VIIRS375,VIIRS,1.17,1.19,Bajo
Lascar,Lascar,2026-05-13 06:06:02,VIIRS,VIIRS,0.88,1.5,Muy Bajo
Lascar,Lascar,2026-05-16 06:00:01,VIIRS375,VIIRS,0.79,1.55,Muy Bajo
Lascar,Lascar,2026-05-18 05:24:01,VIIRS375,VIIRS,0.52,1.19,Muy Bajo
Lascar,Lascar,2026-05-19 05:54:02,VIIRS,VIIRS,0.66,1.5,Muy Bajo
Lascar,Lascar,2026-05-23 05:30:01,VIIRS375,VIIRS,0.4,1.19,Muy Bajo
Lascar,Lascar,2026-05-24 05:12:01,VIIRS375,VIIRS,0.21,1.55,Muy Bajo
Lascar,Lascar,2026-05-25 05:36:02,VIIRS,VIIRS,0.53,0.75,Muy Bajo
Copahue,Copahue,2026-01-10 19:24:01,VIIRS375,VIIRS,5.73,25.86,FALSO POSITIVO
Copahue,Copahue,2026-01-11 19:06:01,VIIRS375,VIIRS,7.81,25.86,FALSO POSITIVO
NevadosDeChillan,Nevados de Chillan,2026-01-12 04:48:01,VIIRS375,VIIRS,3.3,16.77,FALSO POSITIVO
NevadosDeChillan,Nevados de Chillan,2026-01-12 06:30:01,VIIRS375,VIIRS,0.81,17.08,FALSO POSITIVO
NevadosDeChillan,Nevados de Chillan,2026-01-12 18:24:00,VIIRS,VIIRS,18.66,16.77,FALSO POSITIVO
NevadosDeChillan,Nevados de Chillan,2026-01-12 18:24:00,VIIRS375,VIIRS,3.34,16.77,FALSO POSITIVO
NevadosDeChillan,Nevados de Chillan,2026-01-12 18:48:01,VIIRS,VIIRS,6.58,16.77,FALSO POSITIVO
NevadosDeChillan,Nevados de Chillan,2026-01-12 18:48:01,VIIRS375,VIIRS,6.93,17.14,FALSO POSITIVO
NevadosDeChillan,Nevados de Chillan,2026-01-13 02:00:00,MODIS,MODIS,3.24,17.26,FALSO POSITIVO
NevadosDeChillan,Nevados de Chillan,2026-01-13 06:06:01,VIIRS375,VIIRS,0.51,16.77,FALSO POSITIVO
NevadosDeChillan,Nevados de Chillan,2026-03-17 13:15:00,MODIS,MODIS,1.06,1.41,Bajo
NevadosDeChillan,Nevados de Chillan,2026-04-20 19:00:02,VIIRS,VIIRS,0.99,3.35,Muy Bajo
Chaiten,Chaiten,2026-01-11 19:06:01,VIIRS375,VIIRS,0.5,32.14,FALSO POSITIVO
Chaiten,Chaiten,2026-01-19 06:00:01,VIIRS375,VIIRS,0.22,0.38,Muy Bajo
Chaiten,Chaiten,2026-01-20 05:36:01,VIIRS375,VIIRS,0.26,0.38,Muy Bajo
Chaiten,Chaiten,2026-01-20 05:36:01,VIIRS,VIIRS,0.33,0.0,Muy Bajo
Chaiten,Chaiten,2026-01-24 06:06:01,VIIRS375,VIIRS,0.13,0.53,Muy Bajo
PlanchonPeteroa,PlanchonPeteroa,2026-01-19 05:54:01,VIIRS375,VIIRS,0.09,2.02,Muy Bajo
PlanchonPeteroa,PlanchonPeteroa,2026-01-20 05:36:01,VIIRS375,VIIRS,0.14,2.02,Muy Bajo
PlanchonPeteroa,PlanchonPeteroa,2026-01-23 06:18:01,VIIRS375,VIIRS,0.06,1.68,Muy Bajo
PlanchonPeteroa,PlanchonPeteroa,2026-05-09 05:42:02,VIIRS375,VIIRS,0.24,2.28,Muy Bajo
PlanchonPeteroa,PlanchonPeteroa,2026-05-25 05:42:02,VIIRS,VIIRS,0.28,2.37,Muy Bajo
Lastarria,Lastarria,2026-01-11 06:24:00,VIIRS375,VIIRS,0.15,1.55,Bajo
Lastarria,Lastarria,2026-01-12 06:24:01,VIIRS375,VIIRS,0.87,5.03,FALSO POSITIVO
Lastarria,Lastarria,2026-01-13 06:06:01,VIIRS375,VIIRS,0.13,2.4,Bajo
Lastarria,Lastarria,2026-01-14 05:48:01,VIIRS375,VIIRS,0.07,2.4,Bajo
Lastarria,Lastarria,2026-01-18 06:12:01,VIIRS375,VIIRS,0.07,1.55,Muy Bajo
Lastarria,Lastarria,2026-01-19 05:54:01,VIIRS375,VIIRS,0.14,2.4,Muy Bajo
Lastarria,Lastarria,2026-01-20 05:36:01,VIIRS375,VIIRS,0.12,2.4,Muy Bajo
Lastarria,Lastarria,2026-01-21 05:12:01,VIIRS375,VIIRS,0.07,2.4,Muy Bajo
Lastarria,Lastarria,2026-01-23 06:18:01,VIIRS375,VIIRS,0.21,1.91,Muy Bajo
Lastarria,Lastarria,2026-01-25 05:42:01,VIIRS375,VIIRS,0.14,2.4,Muy Bajo
Lastarria,Lastarria,2026-01-27 06:24:00,VIIRS375,VIIRS,0.17,2.4,Muy Bajo
Lastarria,Lastarria,2026-01-28 06:24:01,VIIRS375,VIIRS,0.13,1.55,Muy Bajo
Lastarria,Lastarria,2026-03-10 06:36:00,VIIRS375,VIIRS,0.12,2.52,Muy Bajo
Isluga,Isluga,2026-01-13 18:12:00,VIIRS375,VIIRS,0.23,2.52,Bajo
Isluga,Isluga,2026-01-26 05:18:01,VIIRS375,VIIRS,0.3,0.84,Muy Bajo
Isluga,Isluga,2026-02-26 05:36:01,VIIRS,VIIRS,0.17,0.75,Muy Bajo
Isluga,Isluga,2026-02-27 05:18:01,VIIRS,VIIRS,1.05,3.18,Bajo
Isluga,Isluga,2026-03-03 05:48:01,VIIRS,VIIRS,0.35,0.75,Muy Bajo
Isluga,Isluga,2026-03-09 05:30:01,VIIRS,VIIRS,0.25,0.75,Muy Bajo
Isluga,Isluga,2026-03-13 06:00:01,VIIRS375,VIIRS,0.28,0.53,Muy Bajo
Isluga,Isluga,2026-03-21 05:06:01,VIIRS,VIIRS,0.2,0.75,Muy Bajo
Isluga,Isluga,2026-04-12 05:42:02,VIIRS375,VIIRS,0.3,0.84,Muy Bajo
Isluga,Isluga,2026-04-15 05:42:01,VIIRS,VIIRS,0.27,0.75,Muy Bajo
Isluga,Isluga,2026-04-21 05:24:01,VIIRS375,VIIRS,0.5,0.53,Muy Bajo
Isluga,Isluga,2026-05-01 05:42:01,VIIRS,VIIRS,0.43,0.75,Muy Bajo
Isluga,Isluga,2026-05-17 05:42:01,VIIRS375,VIIRS,0.25,0.53,Muy Bajo
Isluga,Isluga,2026-05-25 05:36:02,VIIRS,VIIRS,0.27,0.0,Muy Bajo
Tupungatito,Tupungatito,2026-02-26 05:42:01,VIIRS,VIIRS,0.27,5.41,Muy Bajo
Tupungatito,Tupungatito,2026-03-03 05:48:01,VIIRS,VIIRS,0.25,5.03,Muy Bajo
Tupungatito,Tupungatito,2026-03-25 05:36:01,VIIRS,VIIRS,0.25,4.37,Muy Bajo
Tupungatito,Tupungatito,2026-04-13 05:30:02,VIIRS375,VIIRS,0.24,5.03,Muy Bajo
