volcano,mirova_csv_label,n_mirova_rows_all,n_mirova_rows_real,n_ours_records,n_ours_records_vrp_gt0,n_mirova_passes,n_ours_passes,n_passes_mirova_eq1_ours_gt1,n_passes_mirova_eq1_ours_eq1,n_passes_ours_avg_per_mirova_pass,max_ours_for_single_mirova,n_matched_pairs,n_FN_mirova_no_ours,n_FP_ours_no_mirova,ratio_median,ratio_p25,ratio_p75,n_lake_proximity,n_in_exclude_zone,n_in_buffer_15x,n_MODIS_inflated_pixels50plus,n_MODIS_inflated_summit_primary_ok
PuyehueCordonCaulle,Puyehue-Cordon Caulle,1894,122,1317,1107,105,806,71,0,1.6095238095238096,3,82,40,1031,9.96188524590164,3.5091269841269837,45.5909375,0,0,0,240,99
Villarrica,Villarrica,1835,10,1273,790,10,776,7,0,1.4,2,7,3,783,7.987096774193549,2.527056277056277,59.69642857142858,198,125,73,116,7
Lascar,Lascar,1608,306,1065,737,231,642,60,73,1.4502164502164503,2,204,102,559,1.4984516928158547,0.9218905472636816,7.840972222222222,123,16,107,64,5
Copahue,Copahue,1840,3,1249,701,3,762,1,0,0.6666666666666666,2,1,2,700,8.804761904761905,8.804761904761905,8.804761904761905,148,141,7,75,2
NevadosDeChillan,Nevados de Chillan,1815,14,1229,427,12,755,3,1,0.5833333333333334,2,4,10,427,0.0,0.0,0.0,0,0,0,80,8
Llaima,Llaima,1829,1,1266,684,1,770,1,0,2.0,2,1,0,683,18.5375,18.5375,18.5375,79,71,8,84,5
Chaiten,Chaiten,1955,25,1327,845,24,824,20,0,1.6666666666666667,2,20,5,831,2.6916666666666664,0.0,11.211805555555555,0,0,0,150,10
PlanchonPeteroa,PlanchonPeteroa,1714,57,1199,764,56,742,51,0,1.8571428571428572,2,52,5,717,12.732666666666667,2.0677777777777777,37.78125,0,0,0,101,8
Lastarria,Lastarria,1604,103,1073,833,103,643,90,0,1.7475728155339805,2,90,13,747,7.258928571428571,2.0208333333333335,31.570334928229666,0,0,0,118,7
Isluga,Isluga,1535,102,1027,579,91,628,76,1,1.9230769230769231,2,88,14,506,2.293690476190476,0.8347415914684168,5.487770562770562,0,0,0,78,11
Tupungatito,Tupungatito,1328,92,1182,675,85,722,78,0,2.0,2,85,7,616,8.264,0.0,27.0,4,0,4,159,7
