volcano_csv,sensor_bucket,mirova_dt,ours_dt,diff_min,mirova_vrp_mw,mirova_clasif,mirova_dist_km,ours_vrp_mw,ours_primary_vrp_mw,ours_n_anomalous_pixels,ours_primary_n_pixels,ours_primary_lat,ours_primary_lon,ours_distance_class,ours_final_hotspot_dist_km,ratio_ours_mirova,volcano
Puyehue-Cordon Caulle,VIIRS,2026-01-29 04:30:01,2026-01-29 04:30:00,0.016666666666666666,0.31,Muy Bajo,8.66,2.031,0.284,9,1,-40.44916,-71.97862,summit,19.55,6.551612903225807,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-01-29 06:12:01,2026-01-29 06:12:00,0.016666666666666666,1.22,Bajo,7.83,11.985,1.179,138,3,-40.36657,-72.07298,summit,7.69,9.823770491803279,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-01-30 05:48:01,2026-01-30 05:48:00,0.016666666666666666,0.21,Muy Bajo,8.19,11.115,4.559,120,95,-40.52617,-72.14194,summit,19.58,52.92857142857143,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-01-31 05:30:01,2026-01-31 05:30:00,0.016666666666666666,0.13,Muy Bajo,2.86,0.0,1.621,156,83,-40.53545,-72.14804,summit,0.971,0.0,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-02-01 05:12:01,2026-02-01 05:12:00,0.016666666666666666,0.57,Muy Bajo,7.83,3.913,3.013,88,81,-40.51851,-72.14421,summit,7.76,6.864912280701755,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-02-02 04:54:01,2026-02-02 04:54:00,0.016666666666666666,0.56,Muy Bajo,8.55,33.676,3.403,189,6,-40.44931,-71.97862,summit,19.4,60.135714285714286,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-02-06 05:18:01,2026-02-06 05:18:00,0.016666666666666666,0.59,Muy Bajo,7.83,0.0,6.743,189,94,-40.51911,-72.14665,summit,0.464,0.0,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-02-06 06:42:00,2026-02-06 06:42:00,0.0,0.2,Muy Bajo,7.65,27.189,9.046,114,16,-40.44492,-71.9917,summit,19.44,135.945,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-02-07 05:00:01,2026-02-07 05:00:00,0.016666666666666666,0.35,Muy Bajo,8.1,16.674,2.827,118,6,-40.41645,-72.00754,summit,19.95,47.64,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-02-07 06:42:01,2026-02-07 06:42:00,0.016666666666666666,0.76,Muy Bajo,8.1,12.96,3.338,84,8,-40.4472,-71.98999,summit,19.54,17.05263157894737,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-02-08 04:42:01,2026-02-08 04:42:00,0.016666666666666666,0.5,Muy Bajo,8.55,6.518,0.733,71,2,-40.45155,-71.97623,summit,19.79,13.036,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-02-08 06:24:01,2026-02-08 06:24:00,0.016666666666666666,0.36,Muy Bajo,7.73,9.216,1.121,80,3,-40.43733,-72.01151,summit,7.65,25.599999999999998,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-02-10 05:42:01,2026-02-10 05:42:00,0.016666666666666666,0.2,Muy Bajo,7.73,195.994,39.629,759,59,-40.4384,-71.9903,summit,19.05,979.9699999999999,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-02-13 06:30:01,2026-02-13 06:30:00,0.016666666666666666,0.02,Muy Bajo,8.19,43.674,29.052,38,13,-40.43647,-71.99781,summit,19.21,2183.7,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-02-15 05:30:00,2026-02-15 05:30:00,0.0,0.42,Muy Bajo,7.83,0.0,4.498,141,79,-40.52072,-72.14227,summit,0.385,0.0,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-02-18 04:54:01,2026-02-18 04:54:00,0.016666666666666666,0.52,Muy Bajo,8.55,102.879,13.645,426,67,-40.51795,-72.14559,summit,7.92,197.84423076923076,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-02-19 04:36:01,2026-02-19 04:36:00,0.016666666666666666,0.36,Muy Bajo,8.55,13.113,2.049,79,5,-40.41498,-72.00996,summit,19.12,36.425,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-02-20 06:00:01,2026-02-20 06:00:00,0.016666666666666666,0.38,Muy Bajo,7.73,8.579,8.306,530,77,-40.51943,-72.14487,summit,0.844,22.576315789473686,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-02-21 05:36:01,2026-02-21 05:36:00,0.016666666666666666,0.11,Muy Bajo,7.65,35.348,1.331,250,5,-40.53599,-72.36125,summit,7.67,321.3454545454545,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-02-22 05:18:01,2026-02-22 05:18:00,0.016666666666666666,0.24,Muy Bajo,8.19,20.952,1.631,155,4,-40.45315,-71.97328,summit,7.93,87.30000000000001,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-02-22 06:42:00,2026-02-22 06:42:00,0.0,0.15,Muy Bajo,7.65,12.456,6.211,8,4,-40.44626,-71.9986,summit,19.03,83.04,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-02-23 05:00:01,2026-02-23 05:00:00,0.016666666666666666,0.15,Muy Bajo,8.19,16.569,3.894,121,10,-40.42241,-72.00975,summit,19.68,110.46,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-02-25 06:06:01,2026-02-25 06:06:00,0.016666666666666666,0.27,Muy Bajo,7.65,19.27,3.357,126,7,-40.44646,-71.98018,summit,19.63,71.37037037037037,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-02-26 05:24:00,2026-02-26 05:24:00,0.0,0.75,Muy Bajo,7.83,59.001,27.848,50,10,-40.43597,-72.00026,summit,19.0,78.66799999999999,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-03-05 05:12:01,2026-03-05 05:12:00,0.016666666666666666,0.54,Muy Bajo,8.46,0.0,5.283,223,74,-40.51638,-72.14485,summit,0.608,0.0,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-03-10 05:18:01,2026-03-10 05:18:00,0.016666666666666666,0.67,Muy Bajo,7.83,35.337,13.355,38,6,-40.42591,-72.0096,summit,19.46,52.74179104477612,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-03-13 06:06:01,2026-03-13 06:06:00,0.016666666666666666,0.16,Muy Bajo,7.65,0.0,8.597,563,83,-40.51825,-72.13707,summit,1.149,0.0,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-03-20 05:30:01,2026-03-20 05:30:00,0.016666666666666666,0.1,Muy Bajo,8.1,31.733,7.06,250,15,-40.42852,-72.01247,summit,19.88,317.33,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-03-26 05:18:01,2026-03-26 05:18:00,0.016666666666666666,0.26,Muy Bajo,8.19,1.85,1.847,168,60,-40.52198,-72.14684,summit,0.72,7.115384615384616,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-03-27 05:00:01,2026-03-27 05:00:00,0.016666666666666666,0.29,Muy Bajo,8.3,17.95,2.441,149,6,-40.42439,-72.00534,summit,19.8,61.896551724137936,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-03-27 06:42:01,2026-03-27 06:42:00,0.016666666666666666,0.09,Muy Bajo,7.65,18.982,5.798,14,3,-40.44561,-71.99447,summit,19.13,210.9111111111111,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-03-28 04:42:01,2026-03-28 04:42:00,0.016666666666666666,0.15,Muy Bajo,8.91,12.801,1.123,129,3,-40.44899,-71.97819,summit,19.36,85.34,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-03-28 06:24:01,2026-03-28 06:24:00,0.016666666666666666,0.28,Muy Bajo,7.73,27.794,11.709,37,6,-40.43574,-71.99622,summit,19.0,99.2642857142857,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-04-02 04:48:01,2026-04-02 04:48:00,0.016666666666666666,0.49,Muy Bajo,8.55,1.907,0.063,15,1,-40.57026,-72.12705,summit,8.13,3.891836734693878,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-04-02 06:30:01,2026-04-02 06:30:00,0.016666666666666666,0.26,Muy Bajo,7.73,5.185,3.214,38,17,-40.51969,-72.14082,summit,0.633,19.94230769230769,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-04-04 05:54:01,2026-04-04 05:54:00,0.016666666666666666,0.55,Muy Bajo,7.65,1.655,0.187,5,1,-40.54575,-72.16949,summit,7.62,3.009090909090909,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-04-07 04:54:01,2026-04-07 04:54:00,0.016666666666666666,0.44,Muy Bajo,8.55,2.85,2.85,3,3,-40.52198,-71.93236,summit,16.83,6.4772727272727275,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-04-08 06:18:01,2026-04-08 06:18:00,0.016666666666666666,0.07,Muy Bajo,2.25,0.807,0.15,6,1,-40.5715,-72.12024,summit,6.48,11.528571428571428,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-04-09 06:00:01,2026-04-09 06:00:00,0.016666666666666666,0.61,Muy Bajo,8.1,6.915,0.18,54,2,-40.57006,-72.12195,summit,7.58,11.336065573770492,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-04-09 06:48:02,2026-04-09 06:48:00,0.03333333333333333,0.16,Muy Bajo,7.58,2.001,0.107,15,1,-40.57374,-72.12289,summit,7.58,12.50625,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-04-10 04:48:02,2026-04-10 04:48:00,0.03333333333333333,0.11,Muy Bajo,7.83,1.505,0.086,15,1,-40.57244,-72.12313,summit,6.41,13.681818181818182,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-04-10 05:18:00,2026-04-10 05:18:00,0.0,0.57,Muy Bajo,8.1,1.917,0.079,11,1,-40.5735,-72.12292,summit,7.67,3.3631578947368426,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-04-10 06:30:02,2026-04-10 06:30:00,0.03333333333333333,0.08,Muy Bajo,6.45,2.9,0.258,29,2,-40.57133,-72.12018,summit,6.21,36.25,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-04-11 06:12:02,2026-04-11 06:12:00,0.03333333333333333,0.16,Muy Bajo,7.65,6.311,0.345,60,3,-40.57098,-72.12168,summit,7.51,39.44375,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-04-13 06:24:01,2026-04-13 06:24:00,0.016666666666666666,0.37,Muy Bajo,7.73,0.965,0.188,7,1,-40.54501,-72.16617,summit,7.26,2.608108108108108,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-04-15 04:54:02,2026-04-15 04:54:00,0.03333333333333333,0.23,Muy Bajo,8.1,3.634,0.604,38,1,-40.52422,-72.14693,summit,7.74,15.799999999999999,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-04-17 05:06:01,2026-04-17 05:06:00,0.016666666666666666,0.04,Muy Bajo,8.66,1.17,0.1,13,1,-40.58852,-72.18518,summit,13.45,29.249999999999996,PuyehueCordonCaulle
Puyehue-Cordon Caulle,VIIRS,2026-04-20 05:54:01,2026-04-20 05:54:00,0.016666666666666666,0.89,Muy Bajo,7.83,1.989,0.146,9,1,-40.57016,-72.12092,summit,7.42,2.2348314606741573,PuyehueCordonCaulle
