volcano,sensor,plot,http_code,bytes
Lascar,VIIRS375,Latest10NTI,200,331081
Lascar,VIIRS375,Dist,200,104553
Lascar,VIIRS375,VRP,200,124093
Lascar,VIIRS375,logVRP,200,149348
Lascar,VIIRS750,Latest10NTI,200,236551
Lascar,VIIRS750,Dist,200,60314
Lascar,VIIRS750,VRP,200,68013
Lascar,VIIRS750,logVRP,200,82232
Lascar,MODIS,Latest10NTI,200,103716
Lascar,MODIS,Dist,200,63626
Lascar,MODIS,VRP,200,66790
Lascar,MODIS,logVRP,200,86513
Lastarria,VIIRS375,Latest10NTI,200,349040
Lastarria,VIIRS375,Dist,200,123500
Lastarria,VIIRS375,VRP,200,135643
Lastarria,VIIRS375,logVRP,200,166853
Lastarria,VIIRS750,Latest10NTI,200,250753
Lastarria,VIIRS750,Dist,200,68897
Lastarria,VIIRS750,VRP,200,69505
Lastarria,VIIRS750,logVRP,200,91354
Lastarria,MODIS,Latest10NTI,200,101553
Lastarria,MODIS,Dist,200,60062
Lastarria,MODIS,VRP,200,61418
Lastarria,MODIS,logVRP,200,82259
Tupungatito,VIIRS375,Latest10NTI,200,364570
Tupungatito,VIIRS375,Dist,200,109709
Tupungatito,VIIRS375,VRP,200,117700
Tupungatito,VIIRS375,logVRP,200,149219
Tupungatito,VIIRS750,Latest10NTI,200,263815
Tupungatito,VIIRS750,Dist,200,66332
Tupungatito,VIIRS750,VRP,200,66254
Tupungatito,VIIRS750,logVRP,200,86444
Tupungatito,MODIS,Latest10NTI,200,102811
Tupungatito,MODIS,Dist,200,59452
Tupungatito,MODIS,VRP,200,60959
Tupungatito,MODIS,logVRP,200,80471
Villarrica,VIIRS375,Latest10NTI,200,355836
Villarrica,VIIRS375,Dist,200,95432
Villarrica,VIIRS375,VRP,200,99913
Villarrica,VIIRS375,logVRP,200,126964
Villarrica,VIIRS750,Latest10NTI,200,246666
Villarrica,VIIRS750,Dist,200,69083
Villarrica,VIIRS750,VRP,200,70941
Villarrica,VIIRS750,logVRP,200,91385
Villarrica,MODIS,Latest10NTI,200,99589
Villarrica,MODIS,Dist,200,60709
Villarrica,MODIS,VRP,200,61262
Villarrica,MODIS,logVRP,200,82107
PuyehueCordonCaulle,VIIRS375,Latest10NTI,200,325941
PuyehueCordonCaulle,VIIRS375,Dist,200,115526
PuyehueCordonCaulle,VIIRS375,VRP,200,122666
PuyehueCordonCaulle,VIIRS375,logVRP,200,154824
PuyehueCordonCaulle,VIIRS750,Latest10NTI,200,253306
PuyehueCordonCaulle,VIIRS750,Dist,200,72975
PuyehueCordonCaulle,VIIRS750,VRP,200,75301
PuyehueCordonCaulle,VIIRS750,logVRP,200,92215
PuyehueCordonCaulle,MODIS,Latest10NTI,200,99383
PuyehueCordonCaulle,MODIS,Dist,200,63020
PuyehueCordonCaulle,MODIS,VRP,200,61948
PuyehueCordonCaulle,MODIS,logVRP,200,82981
Copahue,VIIRS375,Latest10NTI,200,329921
Copahue,VIIRS375,Dist,200,107114
Copahue,VIIRS375,VRP,200,109638
Copahue,VIIRS375,logVRP,200,139427
Copahue,VIIRS750,Latest10NTI,200,249509
Copahue,VIIRS750,Dist,200,71856
Copahue,VIIRS750,VRP,200,74188
Copahue,VIIRS750,logVRP,200,95857
Copahue,MODIS,Latest10NTI,200,102727
Copahue,MODIS,Dist,200,61849
Copahue,MODIS,VRP,200,61614
Copahue,MODIS,logVRP,200,83437
ChillanNevadosde,VIIRS375,Latest10NTI,200,298491
ChillanNevadosde,VIIRS375,Dist,200,109717
ChillanNevadosde,VIIRS375,VRP,200,108303
ChillanNevadosde,VIIRS375,logVRP,200,145565
ChillanNevadosde,VIIRS750,Latest10NTI,200,253805
ChillanNevadosde,VIIRS750,Dist,200,74519
ChillanNevadosde,VIIRS750,VRP,200,74351
ChillanNevadosde,VIIRS750,logVRP,200,97645
ChillanNevadosde,MODIS,Latest10NTI,200,104719
ChillanNevadosde,MODIS,Dist,200,62841
ChillanNevadosde,MODIS,VRP,200,62484
ChillanNevadosde,MODIS,logVRP,200,83745
Llaima,VIIRS375,Latest10NTI,200,343917
Llaima,VIIRS375,Dist,200,105395
Llaima,VIIRS375,VRP,200,111027
Llaima,VIIRS375,logVRP,200,139505
Llaima,VIIRS750,Latest10NTI,200,246900
Llaima,VIIRS750,Dist,200,70674
Llaima,VIIRS750,VRP,200,74025
Llaima,VIIRS750,logVRP,200,94600
Llaima,MODIS,Latest10NTI,200,105678
Llaima,MODIS,Dist,200,61325
Llaima,MODIS,VRP,200,63861
Llaima,MODIS,logVRP,200,83487
Chaiten,VIIRS375,Latest10NTI,200,317866
Chaiten,VIIRS375,Dist,200,97244
Chaiten,VIIRS375,VRP,200,99369
Chaiten,VIIRS375,logVRP,200,131062
Chaiten,VIIRS750,Latest10NTI,200,232889
Chaiten,VIIRS750,Dist,200,68554
Chaiten,VIIRS750,VRP,200,68201
Chaiten,VIIRS750,logVRP,200,90412
Chaiten,MODIS,Latest10NTI,200,102033
Chaiten,MODIS,Dist,200,59250
Chaiten,MODIS,VRP,200,58981
Chaiten,MODIS,logVRP,200,80535
PlanchonPeteroa,VIIRS375,Latest10NTI,200,324747
PlanchonPeteroa,VIIRS375,Dist,200,108934
PlanchonPeteroa,VIIRS375,VRP,200,113758
PlanchonPeteroa,VIIRS375,logVRP,200,149899
PlanchonPeteroa,VIIRS750,Latest10NTI,200,247948
PlanchonPeteroa,VIIRS750,Dist,200,67114
PlanchonPeteroa,VIIRS750,VRP,200,68199
PlanchonPeteroa,VIIRS750,logVRP,200,88264
PlanchonPeteroa,MODIS,Latest10NTI,200,105795
PlanchonPeteroa,MODIS,Dist,200,60677
PlanchonPeteroa,MODIS,VRP,200,63692
PlanchonPeteroa,MODIS,logVRP,200,82016
Isluga,VIIRS375,Latest10NTI,200,323796
Isluga,VIIRS375,Dist,200,107254
Isluga,VIIRS375,VRP,200,120536
Isluga,VIIRS375,logVRP,200,149032
Isluga,VIIRS750,Latest10NTI,200,226798
Isluga,VIIRS750,Dist,200,69239
Isluga,VIIRS750,VRP,200,67581
Isluga,VIIRS750,logVRP,200,89844
Isluga,MODIS,Latest10NTI,200,99627
Isluga,MODIS,Dist,200,59162
Isluga,MODIS,VRP,200,60832
Isluga,MODIS,logVRP,200,80633
