volcano,sensor,dt,tif_lat,tif_lon,tif_a_vent_km,vrp_pc,pc_a_tif_m,pc_rumbo_desde_tif,pc_a_vent_km,final_a_tif_m,final_rumbo_desde_tif,final_a_vent_km
Isluga,VIIRS375,2026-05-09 05:36:00+00:00,-19.15547840009368,-68.83568030860302,0.8526975321948925,0.279,97.94101609381251,E,0.7681543820269078,97.94101609381251,E,0.7681543820269078
Isluga,VIIRS375,2026-05-09 06:30:00+00:00,-19.15547840009368,-68.83568030860302,0.8526975321948925,0.062,2830.421271146317,E,2.9512254483233646,155.0290083969053,N,0.7334695368837
Isluga,VIIRS375,2026-05-10 06:12:00+00:00,-19.05783254232092,-68.86403525825999,10.85457544647777,0.131,11437.501510030359,S,0.9330251244997738,11437.501510030359,S,0.9330251244997738
Isluga,VIIRS375,2026-05-11 05:54:00+00:00,-19.195883582620343,-68.96682195076652,15.24888787050658,0.216,14611.581738665562,E,0.7933372193731973,14611.581738665562,E,0.7933372193731973
Isluga,VIIRS375,2026-05-12 05:36:00+00:00,-19.290162341849214,-68.83922467731013,15.615429961182514,,,,,,O,
Isluga,VIIRS375,2026-05-13 06:00:00+00:00,-19.370972706902535,-68.86403525825999,24.82946279691175,0.081,22268.024730742585,N,2.8330575074736144,23910.774103315867,N,0.9748810576014516
Isluga,VIIRS375,2026-05-13 06:36:00+00:00,-18.98038927581149,-68.8994789453312,20.224077391666263,0.011,17389.858405575575,S,3.0397146554553185,17389.858405575575,S,3.0397146554553185
Isluga,VIIRS375,2026-05-14 05:42:00+00:00,-19.071300936496474,-68.80378099023892,9.17429833044679,0.061,9867.230117991083,S,0.7750527637300961,9867.230117991083,S,0.7750527637300961
Isluga,VIIRS375,2026-05-14 06:18:00+00:00,-18.983756374355377,-68.9313782636953,21.336051136963643,0.045,18700.792763133013,S,2.683079885595322,21974.725465652995,S,0.9734552516129837
Isluga,VIIRS375,2026-05-14 06:36:00+00:00,-19.13527580883035,-68.59820760522585,24.40397640071632,0.037,26466.12386916913,O,2.629189227723936,19924.222990250193,O,4.530687537997697
Isluga,VIIRS375,2026-05-16 06:00:00+00:00,-19.15547840009368,-68.83568030860302,0.8526975321948925,0.084,53.45727950789719,N,0.8370779353629321,180.60699803920224,E,0.7246753791417467
Isluga,VIIRS375,2026-05-17 05:42:00+00:00,-19.15547840009368,-68.83213593989589,0.6491737992249261,0.251,194.92899765077078,O,0.7225569911630384,194.92899765077078,O,0.7225569911630384
Isluga,VIIRS375,2026-05-17 06:30:00+00:00,-19.11844031611091,-68.91720078886681,9.809782565836432,0.068,9667.40774661871,E,0.6790123686632621,9667.40774661871,E,0.6790123686632621
Isluga,VIIRS375,2026-05-18 05:18:00+00:00,-19.15547840009368,-68.83568030860302,0.8526975321948925,0.119,66.00483978004294,O,0.8747771229987363,66.00483978004294,O,0.8747771229987363
Isluga,VIIRS375,2026-05-18 06:12:00+00:00,-19.13864290737424,-69.06606427456593,24.829621730515804,0.06,25207.600025226562,E,2.9734382561581425,24330.85830862173,E,0.8030140944582158
Isluga,VIIRS375,2026-05-18 06:42:00+00:00,-19.142010005918127,-68.66200624195405,17.669157191494364,0.062,17365.213423210553,O,2.720877716517592,17689.43501300125,O,0.0
Isluga,VIIRS375,2026-05-19 05:00:00+00:00,-19.148744203005904,-68.83568030860302,0.6127944465977165,0.067,415.36287317554803,S,0.5788402470792955,415.36287317554803,S,0.5788402470792955
Isluga,VIIRS375,2026-05-20 05:30:00+00:00,-19.15547840009368,-68.83568030860302,0.8526975321948925,0.227,81.31856213602887,O,0.8784588877233129,81.31856213602887,O,0.8784588877233129
PuyehueCordonCaulle,VIIRS375,2026-05-09 05:42:00+00:00,-40.52282656228641,-72.14168481641858,0.47949521928574423,0.252,366.4952142653611,S,0.12622377572743382,366.4952142653611,S,0.12622377572743382
PuyehueCordonCaulle,VIIRS375,2026-05-09 06:36:00+00:00,-40.65770921191189,-71.91484000522351,24.444871233477475,0.079,24494.218073872158,O,0.05738072531982261,24494.218073872158,O,0.05738072531982261
PuyehueCordonCaulle,VIIRS375,2026-05-10 06:18:00+00:00,-40.52282656228641,-72.13714792019468,0.8158284788190344,0.154,745.0237685157047,O,0.07241930419139084,745.0237685157047,O,0.07241930419139084
PuyehueCordonCaulle,VIIRS375,2026-05-11 06:00:00+00:00,-40.56778744549491,-71.94659827879082,17.50339341275356,0.185,17553.685843938933,O,0.03746288584343857,17553.685843938933,O,0.03746288584343857
PuyehueCordonCaulle,VIIRS375,2026-05-11 06:48:00+00:00,-40.394860971616076,-72.12807412774687,14.606468052072232,0.055,14899.114360524924,S,0.5513377961138399,14899.114360524924,S,0.5513377961138399
PuyehueCordonCaulle,VIIRS375,2026-05-12 05:42:00+00:00,-40.52282656228641,-72.13714792019468,0.8158284788190344,,,,,,O,
PuyehueCordonCaulle,VIIRS375,2026-05-12 07:00:00+00:00,-40.50553391489853,-72.30501308047903,13.61264940552381,0.024,12426.106916795405,E,3.2539116505100933,12426.106916795405,E,3.2539116505100933
PuyehueCordonCaulle,VIIRS375,2026-05-13 05:18:00+00:00,-40.52282656228641,-72.14168481641858,0.47949521928574423,0.106,233.3399220164123,O,0.2536453776839549,233.3399220164123,O,0.2536453776839549
PuyehueCordonCaulle,VIIRS375,2026-05-13 06:42:00+00:00,-40.52282656228641,-72.14168481641858,0.47949521928574423,0.127,465.1631066157455,O,0.03257355621798642,465.1631066157455,O,0.03257355621798642
PuyehueCordonCaulle,VIIRS375,2026-05-14 06:24:00+00:00,-40.52282656228641,-72.14168481641858,0.47949521928574423,0.275,574.8566982160858,O,0.10690210354578718,574.8566982160858,O,0.10690210354578718
PuyehueCordonCaulle,VIIRS375,2026-05-15 04:42:00+00:00,-40.6265824466137,-71.8377127694172,28.3702757634032,,,,,,O,
PuyehueCordonCaulle,VIIRS375,2026-05-15 06:24:00+00:00,-40.54357773915187,-72.2278858446727,7.195115513869128,0.023,5322.16599709094,E,1.9046929512558792,15597.52132580339,E,11.17205054494811
PuyehueCordonCaulle,VIIRS375,2026-05-16 04:24:00+00:00,-40.52282656228641,-72.13714792019468,0.8158284788190344,,,,,,O,
PuyehueCordonCaulle,VIIRS375,2026-05-16 06:54:00+00:00,-40.63349950556886,-72.37760342006145,22.942214459453595,0.087,23870.630874609335,E,0.9927864976434511,23370.325264835363,E,0.47370461693018107
PuyehueCordonCaulle,VIIRS375,2026-05-17 05:48:00+00:00,-40.52282656228641,-72.14168481641858,0.47949521928574423,0.262,463.1948591349341,O,0.06601332993398668,463.1948591349341,O,0.06601332993398668
PuyehueCordonCaulle,VIIRS375,2026-05-17 06:36:00+00:00,-40.529743621241565,-72.02372551459715,10.356804091281635,0.243,9836.257696782832,O,0.5336323483757361,9836.257696782832,O,0.5336323483757361
PuyehueCordonCaulle,VIIRS375,2026-05-18 05:24:00+00:00,-40.52282656228641,-72.13714792019468,0.8158284788190344,0.243,702.062721710455,O,0.11488277404308063,702.062721710455,O,0.11488277404308063
PuyehueCordonCaulle,VIIRS375,2026-05-18 06:18:00+00:00,-40.52282656228641,-72.14168481641858,0.47949521928574423,0.237,367.27489004327066,S,0.1236138545860099,367.27489004327066,S,0.1236138545860099
PuyehueCordonCaulle,VIIRS375,2026-05-18 06:48:00+00:00,-40.78567480258223,-72.11900033529908,29.020694971323284,0.145,29105.58799428208,N,0.5818429712519884,29105.58799428208,N,0.5818429712519884
PuyehueCordonCaulle,VIIRS375,2026-05-19 05:06:00+00:00,-40.52628509176399,-72.13714792019468,0.7647754817353727,0.242,769.3940435467141,O,0.15971511565425484,769.3940435467141,O,0.15971511565425484
PuyehueCordonCaulle,VIIRS375,2026-05-19 06:48:00+00:00,-40.5539533275846,-72.05548378816445,8.28818291936947,0.154,7949.961697195473,O,0.3524904879891816,7949.961697195473,O,0.3524904879891816
PuyehueCordonCaulle,VIIRS375,2026-05-20 04:48:00+00:00,-40.519368032808835,-72.14622171264249,0.6817709907813014,0.119,456.75995686513664,S,0.28608551348090094,456.75995686513664,S,0.28608551348090094
PuyehueCordonCaulle,VIIRS375,2026-05-20 05:36:00+00:00,-40.38102685370577,-72.1734430899859,16.229885805527484,0.144,16269.815310620586,S,0.03676742032043654,16269.815310620586,S,0.03676742032043654
