volcano,sensor,dt,tipo,fuente,vrp_mirova,dist_csv,tif,d_max_crudo_mirova_center,lat_max_crudo,lon_max_crudo,d_max_crudo_vent,d_max_crudo_gvp,d_realce_3x3_mirova_center,lat_realce_3x3,lon_realce_3x3,d_realce_3x3_vent,d_realce_3x3_gvp,d_realce_5x5_mirova_center,lat_realce_5x5,lon_realce_5x5,d_realce_5x5_vent,d_realce_5x5_gvp,d_realce_9x9_mirova_center,lat_realce_9x9,lon_realce_9x9,d_realce_9x9_vent,d_realce_9x9_gvp
Isluga,VIIRS375,2026-05-09 05:36:02+00:00,ALERTA_TERMICA,CONS,0.31,0.53,data/tif/Isluga/20260509_053602_VIIRS375.tif,0.4879699554836969,-19.15547840009368,-68.83568030860302,0.8526975321948925,0.8526975321948925,0.4879699554836969,-19.15547840009368,-68.83568030860302,0.8526975321948925,0.8526975321948925,0.4879699554836969,-19.15547840009368,-68.83568030860302,0.8526975321948925,0.8526975321948925,0.4879699554836969,-19.15547840009368,-68.83568030860302,0.8526975321948925,0.8526975321948925
PlanchonPeteroa,VIIRS375,2026-05-09 05:42:02+00:00,ALERTA_TERMICA,CONS,0.24,2.28,data/tif/PlanchonPeteroa/20260509_054202_VIIRS375.tif,21.931006916457022,-35.044365331796826,-70.67120281419861,23.616164227254874,23.69129974400764,2.16692073410277,-35.24202199395677,-70.57568193371267,0.23574428461735927,0.7329819259820453,6.007500739316198,-35.17386452424644,-70.59644734251395,7.765196305993693,7.794899416056276,3.974207283759124,-35.190903891674026,-70.55076344315113,5.946500272895196,5.679372866298499
PuyehueCordonCaulle,VIIRS375,2026-05-09 05:42:02+00:00,ALERTA_TERMICA,CONS,0.18,7.73,data/tif/PuyehueCordonCaulle/20260509_054202_VIIRS375.tif,23.360358705370285,-40.664626270867046,-72.37760342006145,24.925434166323615,23.50640325874742,7.749924310341174,-40.52282656228641,-72.14168481641858,0.47949521928574423,7.7550169987254085,7.749924310341174,-40.52282656228641,-72.14168481641858,0.47949521928574423,7.7550169987254085,22.166745620345047,-40.41215361900396,-72.00104103347763,17.592589362407278,22.072728187510876
Lastarria,VIIRS375,2026-05-09 05:42:02+00:00,ALERTA_TERMICA,CONS,0.06,2.4,data/tif/Lastarria/20260509_054202_VIIRS375.tif,9.992636318696517,-25.078977519456565,-68.49789614300191,9.941202250744832,9.941202250744832,16.733644380689,-25.122832215392208,-68.34961996223221,16.618565159760188,16.618565159760188,10.781180427750119,-25.072230643158775,-68.49418923848268,10.726901950944896,10.726901950944896,10.037756009166019,-25.078977519456565,-68.49418923848268,9.982528088843818,9.982528088843818
Tupungatito,VIIRS375,2026-05-09 05:42:02+00:00,ALERTA_TERMICA,CONS,0.17,5.21,data/tif/Tupungatito/20260509_054202_VIIRS375.tif,24.391726250779868,-33.494631222910584,-70.0504960811743,24.864829743294084,24.33488806008952,21.302141757319017,-33.3931547036201,-70.02629188043329,18.566097228023814,21.021504084433182,12.353741342871752,-33.42698021005026,-69.93350911092608,20.915074917483555,22.642938325477886,19.470052545665133,-33.43036276069328,-70.01015574660595,17.666612137938944,19.79558368493721
Chaiten,VIIRS375,2026-05-09 05:42:02+00:00,ALERTA_TERMICA,CONS,0.08,0.38,data/tif/Chaiten/20260509_054202_VIIRS375.tif,22.859763325039843,-42.97264647858649,-72.85846725976299,22.72465153098601,23.250969594037993,18.525407107139404,-42.74888423774478,-72.84443478466453,18.299881320701935,18.69939094058202,8.502091311819445,-42.90035406231455,-72.70411003367994,8.430783630879331,8.861187466729199,10.167693682952493,-42.9037965583275,-72.73217498387685,10.057723245984558,10.549616626334407
Isluga,VIIRS375,2026-05-09 06:30:01+00:00,ALERTA_TERMICA_OCR,OCR,0.1,0.0,data/tif/Isluga/20260509_063001_VIIRS375.tif,22.27817441461403,-19.18241518844479,-68.62301818617571,22.03639840995808,22.03639840995808,0.4879699554836969,-19.15547840009368,-68.83568030860302,0.8526975321948925,0.8526975321948925,17.761652299392157,-19.027528655425925,-68.93846700110954,17.7585313204577,17.7585313204577,6.03064731139091,-19.098237724847582,-68.83922467731013,5.836729654972688,5.836729654972688
Isluga,VIIRS375,2026-05-09 06:30:01+00:00,ALERTA_TERMICA,CONS,0.1,0.53,data/tif/Isluga/20260509_063001_VIIRS375.tif,22.27817441461403,-19.18241518844479,-68.62301818617571,22.03639840995808,22.03639840995808,0.4879699554836969,-19.15547840009368,-68.83568030860302,0.8526975321948925,0.8526975321948925,17.761652299392157,-19.027528655425925,-68.93846700110954,17.7585313204577,17.7585313204577,6.03064731139091,-19.098237724847582,-68.83922467731013,5.836729654972688,5.836729654972688
PuyehueCordonCaulle,VIIRS375,2026-05-09 06:36:01+00:00,ALERTA_TERMICA,CONS,0.12,7.83,data/tif/PuyehueCordonCaulle/20260509_063601_VIIRS375.tif,21.404461270985735,-40.65079215295674,-72.35945583516585,22.77217117460148,21.551205175830447,18.767010310267114,-40.65770921191189,-71.91484000522351,24.444871233477475,18.649041769775216,18.767010310267114,-40.65770921191189,-71.91484000522351,19.76462674132056,18.649041769775216,20.00504839026959,-40.45365597273488,-71.96474586368643,17.29512531432507,19.886451878330252
PuyehueCordonCaulle,VIIRS375,2026-05-09 06:36:01+00:00,ALERTA_TERMICA_OCR,OCR,0.12,0.0,data/tif/PuyehueCordonCaulle/20260509_063601_VIIRS375.tif,21.404461270985735,-40.65079215295674,-72.35945583516585,22.77217117460148,21.551205175830447,18.767010310267114,-40.65770921191189,-71.91484000522351,24.444871233477475,18.649041769775216,18.767010310267114,-40.65770921191189,-71.91484000522351,19.76462674132056,18.649041769775216,20.00504839026959,-40.45365597273488,-71.96474586368643,17.29512531432507,19.886451878330252
Lascar,MODIS,2026-05-10 01:25:00+00:00,ALERTA_TERMICA_OCR,OCR,1.0,0.0,data/tif/Lascar/20260510_012500_MODIS.tif,23.55479626476284,-23.369836043504577,-67.96178382031825,23.527487622750424,23.454987418590825,1.0670463669105243,-23.360904547149524,-67.7295860655014,0.2926051309371745,0.9332901163022971,1.0670463669105243,-23.360904547149524,-67.7295860655014,0.2926051309371745,0.9332901163022971,22.592662726258897,-23.360904547149524,-67.95210891386753,22.529264016245627,22.486035288048576
Lascar,MODIS,2026-05-10 01:25:00+00:00,ALERTA_TERMICA,CONS,1.07,1.0,data/tif/Lascar/20260510_012500_MODIS.tif,23.55479626476284,-23.369836043504577,-67.96178382031825,23.527487622750424,23.454987418590825,1.0670463669105243,-23.360904547149524,-67.7295860655014,0.2926051309371745,0.9332901163022971,1.0670463669105243,-23.360904547149524,-67.7295860655014,0.2926051309371745,0.9332901163022971,22.592662726258897,-23.360904547149524,-67.95210891386753,22.529264016245627,22.486035288048576
Lascar,VIIRS375,2026-05-10 06:12:01+00:00,ALERTA_TERMICA,CONS,0.77,1.55,data/tif/Lascar/20260510_061201_VIIRS375.tif,22.9931382257601,-23.361929304283976,-67.95608590228346,22.934286988276842,22.887387835391046,1.0572809731800086,-23.361929304283976,-67.73570369471577,0.4516054521480139,0.8723998267733571,1.0572809731800086,-23.361929304283976,-67.73570369471577,0.4516054521480139,0.8723998267733571,1.0572809731800086,-23.361929304283976,-67.73570369471577,0.4516054521480139,0.8723998267733571
Lastarria,VIIRS375,2026-05-10 06:12:01+00:00,ALERTA_TERMICA,CONS,0.05,1.55,data/tif/Lastarria/20260510_061201_VIIRS375.tif,10.4093463413232,-25.07560408130767,-68.49418923848268,10.354609550848824,10.354609550848824,9.383075609103209,-25.220661921710175,-68.43487876617479,9.324608684217946,9.324608684217946,9.619955378814282,-25.224035359859073,-68.43487876617479,9.564552786685866,9.564552786685866,10.4093463413232,-25.07560408130767,-68.49418923848268,10.354609550848824,10.354609550848824
Lascar,VIIRS750,2026-05-10 06:12:01+00:00,ALERTA_TERMICA,CONS,0.87,1.5,data/tif/Lascar/20260510_061201_VIIRS750.tif,23.179152061743483,-23.365386445702853,-67.95803474752648,23.134263723742816,23.076008466676765,1.3109617165092016,-23.35865593106936,-67.73201836240521,0.4792167011947353,1.1502111019443366,1.3109617165092016,-23.35865593106936,-67.73201836240521,0.4792167011947353,1.1502111019443366,23.179152061743483,-23.365386445702853,-67.95803474752648,23.134263723742816,23.076008466676765
PlanchonPeteroa,VIIRS375,2026-05-10 06:18:01+00:00,ALERTA_TERMICA,CONS,0.22,2.02,data/tif/PlanchonPeteroa/20260510_061801_VIIRS375.tif,20.27208222685496,-35.32040308412364,-70.75841753116403,18.973172169240147,19.46001621772258,2.16692073410277,-35.24202199395677,-70.57568193371267,0.23574428461735927,0.7329819259820453,6.358776611885258,-35.170456650760926,-70.54245727963061,8.34133234761482,8.07360969382453,6.358776611885258,-35.170456650760926,-70.54245727963061,8.34133234761482,8.07360969382453
PlanchonPeteroa,VIIRS375,2026-05-10 06:18:01+00:00,ALERTA_TERMICA_OCR,OCR,0.22,0.0,data/tif/PlanchonPeteroa/20260510_061801_VIIRS375.tif,20.27208222685496,-35.32040308412364,-70.75841753116403,18.973172169240147,19.46001621772258,2.16692073410277,-35.24202199395677,-70.57568193371267,0.23574428461735927,0.7329819259820453,6.358776611885258,-35.170456650760926,-70.54245727963061,8.34133234761482,8.07360969382453,6.358776611885258,-35.170456650760926,-70.54245727963061,8.34133234761482,8.07360969382453
PlanchonPeteroa,VIIRS375,2026-05-11 05:54:01+00:00,ALERTA_TERMICA,CONS,0.25,2.02,data/tif/PlanchonPeteroa/20260511_055401_VIIRS375.tif,23.279165953281243,-35.03754958482579,-70.68781514123964,24.912387294821208,24.847125122629365,19.391332706908926,-35.064812572709926,-70.65874356891783,21.083772374789184,21.154957820642608,9.543131395109555,-35.18408814470299,-70.47600797146647,10.880448468066357,10.416260964417763,17.793176475797623,-35.32040308412364,-70.72519287708197,16.36297928898932,16.838358447328666
PlanchonPeteroa,VIIRS375,2026-05-11 05:54:01+00:00,ALERTA_TERMICA_OCR,OCR,0.25,0.0,data/tif/PlanchonPeteroa/20260511_055401_VIIRS375.tif,23.279165953281243,-35.03754958482579,-70.68781514123964,24.912387294821208,24.847125122629365,19.391332706908926,-35.064812572709926,-70.65874356891783,21.083772374789184,21.154957820642608,9.543131395109555,-35.18408814470299,-70.47600797146647,10.880448468066357,10.416260964417763,17.793176475797623,-35.32040308412364,-70.72519287708197,16.36297928898932,16.838358447328666
Tupungatito,VIIRS375,2026-05-11 05:54:01+00:00,ALERTA_TERMICA,CONS,0.22,5.21,data/tif/Tupungatito/20260511_055401_VIIRS375.tif,24.864493922439976,-33.4980137735536,-70.05453011463113,24.717341770586728,24.675581466350625,20.342935027297848,-33.59272519155807,-69.70760323734329,24.846848713732886,23.079323976817385,19.470052545665133,-33.43036276069328,-70.01015574660595,17.666612137938944,19.79558368493721,19.470052545665133,-33.43036276069328,-70.01015574660595,17.666612137938944,19.79558368493721
Isluga,VIIRS750,2026-05-11 05:54:01+00:00,ALERTA_TERMICA,CONS,0.27,0.0,data/tif/Isluga/20260511_055401_VIIRS750.tif,13.179525244871078,-19.265745609276575,-68.7969720307194,13.329419792185483,13.329419792185483,8.842678182921455,-19.14544265218584,-68.91657450550905,9.108182306841153,9.108182306841153,15.61360783080949,-19.198910633115055,-68.97285802305711,15.959137680397948,15.959137680397948,16.563866927686067,-19.205594130731207,-68.97989346275062,16.91268271079771,16.91268271079771
