archivo,volcano,sensor,centro_lat,centro_lon,semiancho_NS_km,semiancho_EO_km,vs_half_km_25_5_NS,vs_half_km_25_5_EO,centro_vs_mirova_center_m,centro_vs_vent_km,centro_vs_gvp_km
Chaiten_VIIRS750_Last_GE.kmz,Chaiten,VIIRS750,-42.834965,-72.650055,25.48,24.01,-0.02,-1.49,1.0,0.24,0.4
ChillanNevadosde_VIIRS750_Last_GE.kmz,NevadosDeChillan,VIIRS750,-36.864831,-71.380677,24.2,25.33,-1.3,-0.17,0.0,0.39,0.39
Copahue_MODIS_Last_GE.kmz,Copahue,MODIS,-37.85562,-71.183863,24.48,25.54,-1.02,0.04,88.0,0.09,0.09
Copahue_VIIRS375_Last_GE.kmz,Copahue,VIIRS375,-37.856172,-71.184585,24.42,25.48,-1.08,-0.02,0.0,0.14,0.14
Copahue_VIIRS750_Last_GE.kmz,Copahue,VIIRS750,-37.857827,-71.186752,24.23,25.29,-1.27,-0.21,265.0,0.39,0.39
Isluga_VIIRS750_Last_GE.kmz,Isluga,VIIRS750,-19.15212,-68.832692,24.92,24.73,-0.58,-0.77,0.0,0.37,0.37
Lascar_MODIS_Last_GE.kmz,Lascar,MODIS,-23.369836,-67.730414,25.35,24.77,-0.15,-0.73,89.0,0.77,0.19
Lascar_VIIRS375_Last_GE.kmz,Lascar,VIIRS375,-23.370406,-67.731018,25.29,24.71,-0.21,-0.79,0.0,0.83,0.19
Lascar_VIIRS750_Last_GE.kmz,Lascar,VIIRS750,-23.372117,-67.73283,25.1,24.52,-0.4,-0.98,265.0,1.03,0.36
Lastarria_VIIRS375_Last_GE.kmz,Lastarria,VIIRS375,-25.168374,-68.508072,25.16,24.84,-0.34,-0.66,0.0,0.12,0.12
Llaima_VIIRS375_Last_GE.kmz,Llaima,VIIRS375,-38.692146,-71.730632,24.24,25.63,-1.26,0.13,0.0,0.14,0.14
PlanchonPeteroa_VIIRS375_Last_GE.kmz,PlanchonPeteroa,VIIRS375,-35.223219,-70.569452,24.63,25.3,-0.87,-0.2,5.0,2.02,1.87
PuyehueCordonCaulle_VIIRS375_Last_GE.kmz,PuyehueCordonCaulle,VIIRS375,-40.590267,-72.118695,25.8,24.07,0.3,-1.43,4.0,7.57,0.15
Tupungatito_VIIRS750_Last_GE.kmz,Tupungatito,VIIRS750,-33.426942,-69.800391,24.66,24.92,-0.84,-0.58,0.0,4.86,3.0
Villarrica_VIIRS750_Last_GE.kmz,Villarrica,VIIRS750,-39.421769,-71.933907,23.99,25.5,-1.51,-0.0,0.0,0.54,0.39
