volcano,sensor,px_h,px_w,semi_NS,semi_EO,paso_NS_m,paso_EO_m
Isluga,MODIS,51,51,25.176,25.035,987.3,981.8
Isluga,VIIRS750,67,67,24.924,24.785,744.0,739.8
Isluga,VIIRS375,134,134,25.113,24.973,374.8,372.7
Lascar,MODIS,51,51,25.353,25.211,994.3,988.7
Lascar,VIIRS750,67,67,25.1,24.958,749.2,745.0
Lascar,VIIRS375,134,134,25.29,25.148,377.5,375.3
Lastarria,MODIS,51,51,25.224,25.086,989.2,983.8
Lastarria,VIIRS750,67,67,24.971,24.834,745.4,741.3
Lastarria,VIIRS375,134,134,25.161,25.023,375.5,373.5
Tupungatito,MODIS,51,51,25.292,25.174,991.8,987.2
Tupungatito,VIIRS750,67,67,25.039,24.923,747.4,744.0
Tupungatito,VIIRS375,134,134,25.229,25.111,376.5,374.8
PlanchonPeteroa,MODIS,51,51,25.481,25.367,999.3,994.8
PlanchonPeteroa,VIIRS750,67,67,25.227,25.114,753.0,749.7
PlanchonPeteroa,VIIRS375,134,134,25.417,25.304,379.4,377.7
NevadosDeChillan,MODIS,51,51,25.69,25.58,1007.5,1003.1
NevadosDeChillan,VIIRS750,67,67,25.434,25.325,759.2,756.0
NevadosDeChillan,VIIRS375,134,134,25.626,25.517,382.5,380.8
Copahue,MODIS,51,51,25.651,25.545,1005.9,1001.8
Copahue,VIIRS750,67,67,25.396,25.29,758.1,754.9
Copahue,VIIRS375,134,134,25.587,25.481,381.9,380.3
Llaima,MODIS,51,51,25.798,25.693,1011.7,1007.6
Llaima,VIIRS750,67,67,25.54,25.437,762.4,759.3
Llaima,VIIRS375,134,134,25.733,25.629,384.1,382.5
Villarrica,MODIS,51,51,25.858,25.755,1014.0,1010.0
Villarrica,VIIRS750,67,67,25.6,25.498,764.2,761.1
Villarrica,VIIRS375,134,134,25.793,25.69,385.0,383.4
PuyehueCordonCaulle,MODIS,51,51,25.86,25.761,1014.1,1010.2
PuyehueCordonCaulle,VIIRS750,67,67,25.601,25.502,764.2,761.3
PuyehueCordonCaulle,VIIRS375,134,134,25.795,25.696,385.0,383.5
Chaiten,MODIS,51,51,25.74,25.648,1009.4,1005.8
Chaiten,VIIRS750,67,67,25.482,25.391,760.7,757.9
Chaiten,VIIRS375,134,134,25.676,25.584,383.2,381.8
