volcano,sensor,acq,acq_source,tif_path,kmz_path,rec_idx,delta_min
Chaiten,MODIS,2026-05-09 08:25:00+00:00,acquisition_utc,data/tif/Chaiten/20260509_082500_MODIS.tif,data/kmz/Chaiten/20260509_082500_MODIS.kmz,38,0.0
Chaiten,MODIS,2026-05-10 01:20:00+00:00,acquisition_utc,data/tif/Chaiten/20260510_012000_MODIS.tif,data/kmz/Chaiten/20260510_012000_MODIS.kmz,39,0.0
Chaiten,MODIS,2026-05-10 03:00:00+00:00,acquisition_utc,data/tif/Chaiten/20260510_030000_MODIS.tif,data/kmz/Chaiten/20260510_030000_MODIS.kmz,40,0.0
Chaiten,MODIS,2026-05-10 07:25:00+00:00,acquisition_utc,data/tif/Chaiten/20260510_072500_MODIS.tif,data/kmz/Chaiten/20260510_072500_MODIS.kmz,49,0.0
Chaiten,MODIS,2026-05-11 02:00:00+00:00,acquisition_utc,data/tif/Chaiten/20260511_020000_MODIS.tif,data/kmz/Chaiten/20260511_020000_MODIS.kmz,50,0.0
Chaiten,MODIS,2026-05-11 08:00:00+00:00,acquisition_utc,data/tif/Chaiten/20260511_080000_MODIS.tif,data/kmz/Chaiten/20260511_080000_MODIS.kmz,59,0.0
Chaiten,MODIS,2026-05-12 02:40:00+00:00,acquisition_utc,data/tif/Chaiten/20260512_024000_MODIS.tif,data/kmz/Chaiten/20260512_024000_MODIS.kmz,60,0.0
Chaiten,MODIS,2026-05-12 07:00:00+00:00,acquisition_utc,data/tif/Chaiten/20260512_070000_MODIS.tif,data/kmz/Chaiten/20260512_070000_MODIS.kmz,71,0.0
Chaiten,MODIS,2026-05-13 01:40:00+00:00,acquisition_utc,data/tif/Chaiten/20260513_014000_MODIS.tif,data/kmz/Chaiten/20260513_014000_MODIS.kmz,74,0.0
Chaiten,MODIS,2026-05-13 07:40:00+00:00,acquisition_utc,data/tif/Chaiten/20260513_074000_MODIS.tif,data/kmz/Chaiten/20260513_074000_MODIS.kmz,85,0.0
Chaiten,MODIS,2026-05-14 02:20:00+00:00,acquisition_utc,data/tif/Chaiten/20260514_022000_MODIS.tif,data/kmz/Chaiten/20260514_022000_MODIS.kmz,86,0.0
Chaiten,MODIS,2026-05-14 08:15:00+00:00,acquisition_utc,data/tif/Chaiten/20260514_081500_MODIS.tif,data/kmz/Chaiten/20260514_081500_MODIS.kmz,97,0.0
Chaiten,MODIS,2026-05-15 01:20:00+00:00,acquisition_utc,data/tif/Chaiten/20260515_012000_MODIS.tif,data/kmz/Chaiten/20260515_012000_MODIS.kmz,98,0.0
Chaiten,MODIS,2026-05-15 03:00:00+00:00,acquisition_utc,data/tif/Chaiten/20260515_030000_MODIS.tif,data/kmz/Chaiten/20260515_030000_MODIS.kmz,99,0.0
Chaiten,MODIS,2026-05-15 07:15:00+00:00,acquisition_utc,data/tif/Chaiten/20260515_071500_MODIS.tif,data/kmz/Chaiten/20260515_071500_MODIS.kmz,110,0.0
Chaiten,MODIS,2026-05-16 02:00:00+00:00,acquisition_utc,data/tif/Chaiten/20260516_020000_MODIS.tif,data/kmz/Chaiten/20260516_020000_MODIS.kmz,111,0.0
Chaiten,MODIS,2026-05-16 07:55:00+00:00,acquisition_utc,data/tif/Chaiten/20260516_075500_MODIS.tif,data/kmz/Chaiten/20260516_075500_MODIS.kmz,122,0.0
Chaiten,MODIS,2026-05-17 02:40:00+00:00,acquisition_utc,data/tif/Chaiten/20260517_024000_MODIS.tif,data/kmz/Chaiten/20260517_024000_MODIS.kmz,123,0.0
Chaiten,MODIS,2026-05-17 06:55:00+00:00,acquisition_utc,data/tif/Chaiten/20260517_065500_MODIS.tif,data/kmz/Chaiten/20260517_065500_MODIS.kmz,132,0.0
Chaiten,MODIS,2026-05-17 08:35:00+00:00,acquisition_utc,data/tif/Chaiten/20260517_083500_MODIS.tif,data/kmz/Chaiten/20260517_083500_MODIS.kmz,133,0.0
Chaiten,MODIS,2026-05-18 01:40:00+00:00,acquisition_utc,data/tif/Chaiten/20260518_014000_MODIS.tif,data/kmz/Chaiten/20260518_014000_MODIS.kmz,134,0.0
Chaiten,MODIS,2026-05-18 07:35:00+00:00,acquisition_utc,data/tif/Chaiten/20260518_073500_MODIS.tif,data/kmz/Chaiten/20260518_073500_MODIS.kmz,145,0.0
Chaiten,MODIS,2026-05-19 02:20:00+00:00,acquisition_utc,data/tif/Chaiten/20260519_022000_MODIS.tif,data/kmz/Chaiten/20260519_022000_MODIS.kmz,146,0.0
Chaiten,MODIS,2026-05-19 08:10:00+00:00,acquisition_utc,data/tif/Chaiten/20260519_081000_MODIS.tif,data/kmz/Chaiten/20260519_081000_MODIS.kmz,157,0.0
Chaiten,MODIS,2026-05-20 01:20:00+00:00,acquisition_utc,data/tif/Chaiten/20260520_012000_MODIS.tif,data/kmz/Chaiten/20260520_012000_MODIS.kmz,158,0.0
Chaiten,MODIS,2026-05-20 07:10:00+00:00,acquisition_utc,data/tif/Chaiten/20260520_071000_MODIS.tif,data/kmz/Chaiten/20260520_071000_MODIS.kmz,170,0.0
Chaiten,VIIRS375,2026-05-09 05:42:02+00:00,acquisition_utc,data/tif/Chaiten/20260509_054202_VIIRS375.tif,data/kmz/Chaiten/20260509_054202_VIIRS375.kmz,31,0.03333333333333333
Chaiten,VIIRS375,2026-05-09 06:36:01+00:00,acquisition_utc,data/tif/Chaiten/20260509_063601_VIIRS375.tif,data/kmz/Chaiten/20260509_063601_VIIRS375.kmz,35,0.016666666666666666
Chaiten,VIIRS375,2026-05-10 04:36:01+00:00,acquisition_utc,data/tif/Chaiten/20260510_043601_VIIRS375.tif,data/kmz/Chaiten/20260510_043601_VIIRS375.kmz,41,0.016666666666666666
Chaiten,VIIRS375,2026-05-10 06:18:01+00:00,acquisition_utc,data/tif/Chaiten/20260510_061801_VIIRS375.tif,data/kmz/Chaiten/20260510_061801_VIIRS375.kmz,47,0.016666666666666666
Chaiten,VIIRS375,2026-05-11 06:00:01+00:00,acquisition_utc,data/tif/Chaiten/20260511_060001_VIIRS375.tif,data/kmz/Chaiten/20260511_060001_VIIRS375.kmz,55,0.016666666666666666
Chaiten,VIIRS375,2026-05-11 06:48:02+00:00,acquisition_utc,data/tif/Chaiten/20260511_064802_VIIRS375.tif,data/kmz/Chaiten/20260511_064802_VIIRS375.kmz,57,0.03333333333333333
