volcan,sensor,ventana,n_records,n_con_cumulo,n_pc0,frac_pc0,ic95_lo,ic95_hi,pico_frio_si,pico_frio_no,sin_pixeles_persistidos
Lascar,VIIRS375,2025-02-15..2026-09-13,1868,1696,249,0.1468,0.1303,0.1639,8,2,239
Lascar,VIIRS750,2025-02-15..2026-09-13,1852,1241,268,0.216,0.1934,0.2385,176,4,88
Lascar,MODIS,2025-02-15..2026-09-13,949,947,2,0.0021,0.0,0.0053,0,0,2
Lastarria,VIIRS375,2025-02-15..2026-09-13,1902,1680,398,0.2369,0.2173,0.2571,0,6,392
Lastarria,VIIRS750,2025-02-15..2026-09-13,1870,729,201,0.2757,0.2442,0.31,145,7,49
Lastarria,MODIS,2025-02-15..2026-09-13,955,953,1,0.001,0.0,0.0031,0,0,1
Isluga,VIIRS375,2025-02-15..2026-09-13,1819,1663,35,0.021,0.0144,0.0283,35,0,0
Isluga,VIIRS750,2025-02-15..2026-09-13,1812,1020,424,0.4157,0.3863,0.4461,420,2,2
Isluga,MODIS,2025-02-15..2026-09-13,919,917,1,0.0011,0.0,0.0033,0,0,1
Tupungatito,VIIRS375,2025-02-15..2026-09-13,2106,1648,50,0.0303,0.0218,0.0388,49,1,0
Tupungatito,VIIRS750,2025-02-15..2026-09-13,2090,1067,617,0.5783,0.5492,0.6073,614,3,0
Tupungatito,MODIS,2025-02-15..2026-09-13,1067,1065,0,0.0,0.0,0.0,0,0,0
PlanchonPeteroa,VIIRS375,2025-02-15..2026-09-12,2110,1667,0,0.0,0.0,0.0,0,0,0
PlanchonPeteroa,VIIRS750,2025-02-15..2026-09-12,2091,691,249,0.3603,0.3242,0.3965,248,0,1
PlanchonPeteroa,MODIS,2025-02-15..2026-09-12,1102,1096,0,0.0,0.0,0.0,0,0,0
NevadosDeChillan,VIIRS375,2025-02-15..2026-09-13,2215,1688,649,0.3845,0.3626,0.4082,55,0,594
NevadosDeChillan,VIIRS750,2025-02-15..2026-09-13,2186,525,260,0.4952,0.4533,0.539,77,1,182
NevadosDeChillan,MODIS,2025-02-15..2026-09-13,1110,1106,15,0.0136,0.0072,0.0208,2,0,13
Llaima,VIIRS375,2025-02-15..2026-09-13,2287,1755,53,0.0302,0.0222,0.0387,53,0,0
Llaima,VIIRS750,2025-02-15..2026-09-13,2278,531,124,0.2335,0.1996,0.2693,121,1,2
Llaima,MODIS,2025-02-15..2026-09-13,1135,1132,2,0.0018,0.0,0.0044,1,0,1
Villarrica,VIIRS375,2025-02-15..2026-09-13,2625,2070,0,0.0,0.0,0.0,0,0,0
Villarrica,VIIRS750,2025-02-15..2026-09-13,2618,799,197,0.2466,0.2165,0.2766,196,0,1
Villarrica,MODIS,2025-02-15..2026-09-13,1302,1300,0,0.0,0.0,0.0,0,0,0
Copahue,VIIRS375,2025-02-15..2026-09-13,2226,1791,46,0.0257,0.0184,0.0335,45,1,0
Copahue,VIIRS750,2025-02-15..2026-09-13,2210,425,74,0.1741,0.1388,0.2118,72,1,1
Copahue,MODIS,2025-02-15..2026-09-13,1131,1128,1,0.0009,0.0,0.0027,1,0,0
PuyehueCordonCaulle,VIIRS375,2025-02-15..2026-09-13,2179,1792,0,0.0,0.0,0.0,0,0,0
PuyehueCordonCaulle,VIIRS750,2025-02-15..2026-09-13,2153,1536,196,0.1276,0.1113,0.1445,176,19,1
PuyehueCordonCaulle,MODIS,2025-02-15..2026-09-13,1105,1096,0,0.0,0.0,0.0,0,0,0
Chaiten,VIIRS375,2025-02-15..2026-09-13,2392,1725,0,0.0,0.0,0.0,0,0,0
Chaiten,VIIRS750,2025-02-15..2026-09-13,2380,644,89,0.1382,0.1134,0.1646,89,0,0
Chaiten,MODIS,2025-02-15..2026-09-13,1250,1248,0,0.0,0.0,0.0,0,0,0
