volcan,sensor,ventana,noches_alerta_mirova,cubiertas_dashboard,perdidas,perdidas_con_pc0,perdidas_sin_record_nuestro,perdidas_con_record_no_visible_sin_pc0,frac_perdidas_pc0_sobre_alertas,ic95_lo,ic95_hi,mecanismos_en_perdidas
Lascar,VIIRS375,2026-01-11..2026-09-07,176,166,10,1,9,0,0.0057,0.0,0.017,test1: keep_peak / anillo (D19 magnitud)=1
Lascar,VIIRS750,2026-01-11..2026-09-07,136,123,13,8,5,0,0.0588,0.0221,0.1029,ctx: 2do paso sin activos (D19)=7; test1: keep_peak / anillo (D19 magnitud)=2; ctx: con activos del 1er paso=1
Lascar,MODIS,2026-01-11..2026-09-07,76,9,67,0,2,65,0.0,0.0,0.0,
Lastarria,VIIRS375,2026-01-11..2026-09-07,156,142,14,4,10,0,0.0256,0.0064,0.0513,test1: keep_peak / anillo (D19 magnitud)=4
Lastarria,VIIRS750,2026-01-11..2026-09-07,0,0,0,0,0,0,,nan,nan,
Lastarria,MODIS,2026-01-11..2026-09-07,0,0,0,0,0,0,,nan,nan,
Isluga,VIIRS375,2026-01-11..2026-09-07,160,159,1,0,1,0,0.0,0.0,0.0,
Isluga,VIIRS750,2026-01-11..2026-09-07,40,29,11,11,0,0,0.275,0.15,0.425,ctx: 2do paso sin activos (D19)=11
Isluga,MODIS,2026-01-11..2026-09-07,0,0,0,0,0,0,,nan,nan,
Tupungatito,VIIRS375,2026-01-11..2026-09-07,107,105,2,0,0,2,0.0,0.0,0.0,
Tupungatito,VIIRS750,2026-01-11..2026-09-07,14,6,8,8,0,0,0.5714,0.2857,0.7857,ctx: 2do paso sin activos (D19)=8
Tupungatito,MODIS,2026-01-11..2026-09-07,0,0,0,0,0,0,,nan,nan,
PlanchonPeteroa,VIIRS375,2026-01-11..2026-09-07,93,88,5,0,5,0,0.0,0.0,0.0,
PlanchonPeteroa,VIIRS750,2026-01-11..2026-09-07,9,5,4,4,0,0,0.4444,0.1111,0.7778,ctx: 2do paso sin activos (D19)=4
PlanchonPeteroa,MODIS,2026-01-11..2026-09-07,0,0,0,0,0,0,,nan,nan,
NevadosDeChillan,VIIRS375,2026-01-11..2026-09-07,10,6,4,1,0,3,0.1,0.0,0.3,test1: keep_peak / anillo (D19 magnitud)=1
NevadosDeChillan,VIIRS750,2026-01-11..2026-09-07,0,0,0,0,0,0,,nan,nan,
NevadosDeChillan,MODIS,2026-01-11..2026-09-07,0,0,0,0,0,0,,nan,nan,
Llaima,VIIRS375,2026-01-11..2026-09-07,2,2,0,0,0,0,0.0,0.0,0.0,
Llaima,VIIRS750,2026-01-11..2026-09-07,0,0,0,0,0,0,,nan,nan,
Llaima,MODIS,2026-01-11..2026-09-07,0,0,0,0,0,0,,nan,nan,
Villarrica,VIIRS375,2026-01-11..2026-09-07,29,29,0,0,0,0,0.0,0.0,0.0,
Villarrica,VIIRS750,2026-01-11..2026-09-07,6,5,1,1,0,0,0.1667,0.0,0.5,ctx: 2do paso sin activos (D19)=1
Villarrica,MODIS,2026-01-11..2026-09-07,1,1,0,0,0,0,0.0,0.0,0.0,
Copahue,VIIRS375,2026-01-11..2026-09-07,4,4,0,0,0,0,0.0,0.0,0.0,
Copahue,VIIRS750,2026-01-11..2026-09-07,1,1,0,0,0,0,0.0,0.0,0.0,
Copahue,MODIS,2026-01-11..2026-09-07,0,0,0,0,0,0,,nan,nan,
PuyehueCordonCaulle,VIIRS375,2026-01-11..2026-09-07,120,104,16,0,13,3,0.0,0.0,0.0,
PuyehueCordonCaulle,VIIRS750,2026-01-11..2026-09-07,38,30,8,1,7,0,0.0263,0.0,0.0789,ctx: 2do paso sin activos (D19)=1
PuyehueCordonCaulle,MODIS,2026-01-11..2026-09-07,0,0,0,0,0,0,,nan,nan,
Chaiten,VIIRS375,2026-01-11..2026-09-07,39,35,4,0,4,0,0.0,0.0,0.0,
Chaiten,VIIRS750,2026-01-11..2026-09-07,2,1,1,0,1,0,0.0,0.0,0.0,
Chaiten,MODIS,2026-01-11..2026-09-07,0,0,0,0,0,0,,nan,nan,
