volcan,sensor,mecanismo,n,frac_de_pc0
Lascar,VIIRS375,test1: keep_peak / anillo (D19 magnitud),219,0.88
Lascar,VIIRS375,ctx: 2do paso sin activos (D19),28,0.112
Lascar,VIIRS375,ctx: con activos del 1er paso,2,0.008
Lascar,VIIRS750,ctx: 2do paso sin activos (D19),191,0.713
Lascar,VIIRS750,test1: keep_peak / anillo (D19 magnitud),72,0.269
Lascar,VIIRS750,ctx: con activos del 1er paso,4,0.015
Lascar,VIIRS750,otro (eruption),1,0.004
Lascar,MODIS,test1: keep_peak / anillo (D19 magnitud),2,1.0
Lastarria,VIIRS375,test1: keep_peak / anillo (D19 magnitud),395,0.992
Lastarria,VIIRS375,ctx: 2do paso sin activos (D19),2,0.005
Lastarria,VIIRS375,ctx: con activos del 1er paso,1,0.003
Lastarria,VIIRS750,ctx: 2do paso sin activos (D19),133,0.662
Lastarria,VIIRS750,test1: keep_peak / anillo (D19 magnitud),67,0.333
Lastarria,VIIRS750,ctx: con activos del 1er paso,1,0.005
Lastarria,MODIS,test1: keep_peak / anillo (D19 magnitud),1,1.0
Isluga,VIIRS375,ctx: 2do paso sin activos (D19),30,0.857
Isluga,VIIRS375,otro (eruption),5,0.143
Isluga,VIIRS750,ctx: 2do paso sin activos (D19),423,0.998
Isluga,VIIRS750,otro (eruption),1,0.002
Isluga,MODIS,otro (eruption),1,1.0
Tupungatito,VIIRS375,ctx: 2do paso sin activos (D19),50,1.0
Tupungatito,VIIRS750,ctx: 2do paso sin activos (D19),614,0.995
Tupungatito,VIIRS750,otro (eruption),2,0.003
Tupungatito,VIIRS750,ctx: con activos del 1er paso,1,0.002
PlanchonPeteroa,VIIRS750,ctx: 2do paso sin activos (D19),245,0.984
PlanchonPeteroa,VIIRS750,otro (eruption),4,0.016
NevadosDeChillan,VIIRS375,test1: keep_peak / anillo (D19 magnitud),543,0.837
NevadosDeChillan,VIIRS375,ctx: 2do paso sin activos (D19),97,0.149
NevadosDeChillan,VIIRS375,otro (eruption),8,0.012
NevadosDeChillan,VIIRS375,ctx: con activos del 1er paso,1,0.002
NevadosDeChillan,VIIRS750,test1: keep_peak / anillo (D19 magnitud),178,0.685
NevadosDeChillan,VIIRS750,ctx: 2do paso sin activos (D19),82,0.315
NevadosDeChillan,MODIS,test1: keep_peak / anillo (D19 magnitud),13,0.867
NevadosDeChillan,MODIS,otro (eruption),2,0.133
Llaima,VIIRS375,ctx: 2do paso sin activos (D19),53,1.0
Llaima,VIIRS750,ctx: 2do paso sin activos (D19),124,1.0
Llaima,MODIS,otro (eruption),2,1.0
Villarrica,VIIRS750,ctx: 2do paso sin activos (D19),197,1.0
Copahue,VIIRS375,ctx: 2do paso sin activos (D19),40,0.87
Copahue,VIIRS375,otro (eruption),6,0.13
Copahue,VIIRS750,ctx: 2do paso sin activos (D19),74,1.0
Copahue,MODIS,otro (eruption),1,1.0
PuyehueCordonCaulle,VIIRS750,ctx: 2do paso sin activos (D19),182,0.929
PuyehueCordonCaulle,VIIRS750,ctx: con activos del 1er paso,13,0.066
PuyehueCordonCaulle,VIIRS750,otro (eruption),1,0.005
Chaiten,VIIRS750,ctx: 2do paso sin activos (D19),89,1.0
