volcan,regimen,sensor,ventana,n_visibles,vis_solo_2do_paso,frac_solo_2do_paso,ic95_lo,ic95_hi,solo2p_pico_bajo_margen,solo2p_pico_sin_pixeles,ventana_mirova,noches_alerta_mirova,cubiertas,cubiertas_solo_por_2do_paso,frac_noches_solo_2do_paso,ic95n_lo,ic95n_hi,n_con_pico,pico_bajo_3K,frac_pico_bajo_3K,ic95p_lo,ic95p_hi,mediana_margen_K,literal_tmax_menos_tbg_bajo_3K,literal_n
Lascar,focal,VIIRS375,2025-02-15..2026-09-13,1437,128,0.0891,0.0745,0.1037,2,126,2026-01-11..2026-09-07,176,166,0,0.0,0.0,0.0,5,3,0.6,0.2,1.0,2.92,0,1437
Lascar,focal,VIIRS750,2025-02-15..2026-09-13,935,202,0.216,0.1904,0.2428,103,99,2026-01-11..2026-09-07,136,123,12,0.0882,0.0441,0.1397,191,104,0.5445,0.4712,0.6178,2.51,0,935
Lascar,focal,MODIS,2025-02-15..2026-09-13,57,0,0.0,0.0,0.0,0,0,2026-01-11..2026-09-07,76,9,0,0.0,0.0,0.0,1,1,1.0,1.0,1.0,2.65,0,57
Lastarria,focal,VIIRS375,2025-02-15..2026-09-13,1269,183,0.1442,0.1253,0.1639,3,180,2026-01-11..2026-09-07,156,142,1,0.0064,0.0,0.0192,7,3,0.4286,0.1429,0.8571,3.69,0,1269
Lastarria,focal,VIIRS750,2025-02-15..2026-09-13,455,178,0.3912,0.3473,0.4374,93,85,2026-01-11..2026-09-07,0,0,0,,nan,nan,113,96,0.8496,0.7788,0.9115,1.39,0,455
Lastarria,focal,MODIS,2025-02-15..2026-09-13,46,0,0.0,0.0,0.0,0,0,2026-01-11..2026-09-07,0,0,0,,nan,nan,11,0,0.0,0.0,0.0,9.75,0,46
Isluga,focal,VIIRS375,2025-02-15..2026-09-13,1613,296,0.1835,0.1643,0.2021,15,281,2026-01-11..2026-09-07,160,159,2,0.0125,0.0,0.0312,25,16,0.64,0.44,0.84,2.23,13,1613
Isluga,focal,VIIRS750,2025-02-15..2026-09-13,555,321,0.5784,0.5369,0.6198,127,193,2026-01-11..2026-09-07,40,29,16,0.4,0.25,0.55,180,130,0.7222,0.6556,0.7889,1.65,0,555
Isluga,focal,MODIS,2025-02-15..2026-09-13,38,0,0.0,0.0,0.0,0,0,2026-01-11..2026-09-07,0,0,0,,nan,nan,7,1,0.1429,0.0,0.4286,11.56,0,38
Tupungatito,nevado,VIIRS375,2025-02-15..2026-09-13,1594,228,0.143,0.1261,0.1606,8,220,2026-01-11..2026-09-07,107,105,0,0.0,0.0,0.0,14,8,0.5714,0.2857,0.7857,2.63,18,1594
Tupungatito,nevado,VIIRS750,2025-02-15..2026-09-13,405,97,0.2395,0.2,0.2815,39,58,2026-01-11..2026-09-07,14,6,1,0.0714,0.0,0.2143,70,39,0.5571,0.4429,0.6714,2.52,0,405
Tupungatito,nevado,MODIS,2025-02-15..2026-09-13,49,0,0.0,0.0,0.0,0,0,2026-01-11..2026-09-07,0,0,0,,nan,nan,7,0,0.0,0.0,0.0,18.82,0,49
PlanchonPeteroa,intermedio,VIIRS375,2025-02-15..2026-09-12,1658,344,0.2075,0.1882,0.2268,5,339,2026-01-11..2026-09-07,93,88,2,0.0215,0.0,0.0538,8,6,0.75,0.375,1.0,-4.66,14,1658
PlanchonPeteroa,intermedio,VIIRS750,2025-02-15..2026-09-12,415,87,0.2096,0.1711,0.2482,14,73,2026-01-11..2026-09-07,9,5,2,0.2222,0.0,0.5556,25,14,0.56,0.36,0.76,2.73,0,415
PlanchonPeteroa,intermedio,MODIS,2025-02-15..2026-09-12,62,0,0.0,0.0,0.0,0,0,2026-01-11..2026-09-07,0,0,0,,nan,nan,16,2,0.125,0.0,0.3125,9.72,0,62
NevadosDeChillan,nevado,VIIRS375,2025-02-15..2026-09-13,1007,177,0.1758,0.1519,0.1996,7,170,2026-01-11..2026-09-07,10,6,1,0.1,0.0,0.3,12,7,0.5833,0.3333,0.8333,2.52,0,1007
NevadosDeChillan,nevado,VIIRS750,2025-02-15..2026-09-13,161,32,0.1988,0.1429,0.2609,26,6,2026-01-11..2026-09-07,0,0,0,,nan,nan,52,27,0.5192,0.3846,0.6538,2.97,0,161
NevadosDeChillan,nevado,MODIS,2025-02-15..2026-09-13,40,0,0.0,0.0,0.0,0,0,2026-01-11..2026-09-07,0,0,0,,nan,nan,11,2,0.1818,0.0,0.4545,8.03,0,40
Llaima,nevado,VIIRS375,2025-02-15..2026-09-13,1689,248,0.1468,0.1303,0.1634,34,214,2026-01-11..2026-09-07,2,2,0,0.0,0.0,0.0,46,35,0.7609,0.6304,0.8696,2.26,24,1689
Llaima,nevado,VIIRS750,2025-02-15..2026-09-13,378,70,0.1852,0.1481,0.2249,55,15,2026-01-11..2026-09-07,0,0,0,,nan,nan,84,55,0.6548,0.5476,0.75,2.22,1,378
Llaima,nevado,MODIS,2025-02-15..2026-09-13,52,0,0.0,0.0,0.0,0,0,2026-01-11..2026-09-07,0,0,0,,nan,nan,14,3,0.2143,0.0,0.4286,6.35,0,52
Villarrica,nevado,VIIRS375,2025-02-15..2026-09-13,2063,403,0.1953,0.1784,0.2128,55,348,2026-01-11..2026-09-07,29,29,0,0.0,0.0,0.0,72,55,0.7639,0.6667,0.8611,0.81,29,2063
Villarrica,nevado,VIIRS750,2025-02-15..2026-09-13,579,139,0.2401,0.2055,0.2746,83,56,2026-01-11..2026-09-07,6,5,2,0.3333,0.0,0.6667,120,83,0.6917,0.6083,0.775,1.97,1,579
Villarrica,nevado,MODIS,2025-02-15..2026-09-13,104,0,0.0,0.0,0.0,0,0,2026-01-11..2026-09-07,1,1,0,0.0,0.0,0.0,67,3,0.0448,0.0,0.1045,7.92,0,104
Copahue,nevado,VIIRS375,2025-02-15..2026-09-13,1732,237,0.1368,0.1212,0.153,8,229,2026-01-11..2026-09-07,4,4,0,0.0,0.0,0.0,13,8,0.6154,0.3077,0.8462,1.63,12,1732
Copahue,nevado,VIIRS750,2025-02-15..2026-09-13,312,31,0.0994,0.0673,0.1346,20,11,2026-01-11..2026-09-07,1,1,0,0.0,0.0,0.0,41,20,0.4878,0.3415,0.6341,3.02,0,312
Copahue,nevado,MODIS,2025-02-15..2026-09-13,36,0,0.0,0.0,0.0,0,0,2026-01-11..2026-09-07,0,0,0,,nan,nan,2,1,0.5,0.0,1.0,8.12,0,36
PuyehueCordonCaulle,nevado,VIIRS375,2025-02-15..2026-09-13,1791,179,0.0999,0.0865,0.1145,22,157,2026-01-11..2026-09-07,120,104,1,0.0083,0.0,0.025,129,22,0.1705,0.1085,0.2403,6.13,24,1791
PuyehueCordonCaulle,nevado,VIIRS750,2025-02-15..2026-09-13,1337,367,0.2745,0.2506,0.2992,182,184,2026-01-11..2026-09-07,38,30,7,0.1842,0.0789,0.3158,639,183,0.2864,0.252,0.3224,5.06,1,1337
PuyehueCordonCaulle,nevado,MODIS,2025-02-15..2026-09-13,717,0,0.0,0.0,0.0,0,0,2026-01-11..2026-09-07,0,0,0,,nan,nan,668,0,0.0,0.0,0.0,10.33,0,717
Chaiten,nevado,VIIRS375,2025-02-15..2026-09-13,1720,446,0.2593,0.239,0.2802,52,394,2026-01-11..2026-09-07,39,35,7,0.1795,0.0769,0.3077,90,53,0.5889,0.4889,0.6889,2.46,33,1720
Chaiten,nevado,VIIRS750,2025-02-15..2026-09-13,545,124,0.2275,0.1927,0.2624,104,20,2026-01-11..2026-09-07,2,1,1,0.5,0.0,1.0,171,104,0.6082,0.5322,0.6842,2.34,1,545
Chaiten,nevado,MODIS,2025-02-15..2026-09-13,126,0,0.0,0.0,0.0,0,0,2026-01-11..2026-09-07,0,0,0,,nan,nan,87,2,0.023,0.0,0.0575,8.58,0,126
