[VRP profile=mirova_equivalent] anomaly_K=5.0 nsigma_mir=3.0 vent_K=1.0 nti_k1=-0.8 nti_rel=off vent_path=off sensors=MODIS:True V375:True V750:True data_subdir=mirova_equivalent
ventana MIROVA 2026-01-11..2026-09-07
volcan              sensor    alertas solo2p sin_test1 con_test1 sin_dato
Lascar              VIIRS375      176      0         0         0        0
Lascar              VIIRS750      136     12         6         6        0
Lascar              MODIS          76      0         0         0        0
Lastarria           VIIRS375      156      1         0         1        0
Lastarria           VIIRS750        0      0         0         0        0
Lastarria           MODIS           0      0         0         0        0
Isluga              VIIRS375      160      2         0         2        0
Isluga              VIIRS750       40     16         2        14        0
Isluga              MODIS           0      0         0         0        0
Tupungatito         VIIRS375      107      0         0         0        0
Tupungatito         VIIRS750       14      1         1         0        0
Tupungatito         MODIS           0      0         0         0        0
PlanchonPeteroa     VIIRS375       93      2         0         2        0
PlanchonPeteroa     VIIRS750        9      2         0         2        0
PlanchonPeteroa     MODIS           0      0         0         0        0
NevadosDeChillan    VIIRS375       10      1         0         1        0
NevadosDeChillan    VIIRS750        0      0         0         0        0
NevadosDeChillan    MODIS           0      0         0         0        0
Llaima              VIIRS375        2      0         0         0        0
Llaima              VIIRS750        0      0         0         0        0
Llaima              MODIS           0      0         0         0        0
Villarrica          VIIRS375       29      0         0         0        0
Villarrica          VIIRS750        6      2         0         2        0
Villarrica          MODIS           1      0         0         0        0
Copahue             VIIRS375        4      0         0         0        0
Copahue             VIIRS750        1      0         0         0        0
Copahue             MODIS           0      0         0         0        0
PuyehueCordonCaulle VIIRS375      120      1         0         1        0
PuyehueCordonCaulle VIIRS750       38      7         0         7        0
PuyehueCordonCaulle MODIS           0      0         0         0        0
Chaiten             VIIRS375       39      7         0         7        0
Chaiten             VIIRS750        2      1         1         0        0
Chaiten             MODIS           0      0         0         0        0

Totales (cota inferior = sin_test1; cota superior = solo2p):
  VIIRS375: alertas=896 solo2p=14 sin_test1=0 (0.0%, IC95 [0.000,0.000])
  VIIRS750: alertas=246 solo2p=41 sin_test1=10 (4.1%, IC95 [0.016,0.065])
  MODIS: alertas=77 solo2p=0 sin_test1=0 (0.0%, IC95 [0.000,0.000])
