brazo                                               A1   A2   A3   A4   A5   A6   A7   A8   A9   total
(linea base S136 commiteada)                        4    4    2    2    2    2    3    2    3    24
out_apendice                                        4    4    2    2    2    2    3    2    3    24
out_apendice_prosa                                  4    4    2    2    2    2    3    2    3    24
out_apendice_b22                                    4    4    2    2    2    2    3    2    3    24
out_apendice_b22_prosa                              4    4    2    2    2    2    3    2    3    24
out_apendice_b22_sincompuerta                       4    4    2    2    2    2    3    2    3    24
out_apendice_b22_sincompuerta_prosa                 4    4    2    2    2    2    3    2    3    24
out_apendice_b22_sincompuerta_fondolocal            4    4    2    2    2    2    3    2    3    24
out_apendice_b22_sincompuerta_fondolocal_prosa      4    4    2    2    2    2    3    2    3    24
out_apendice_b22_fondolocal                         4    4    2    2    2    2    3    2    3    24

cobertura pareja: todos los brazos con al menos las pasadas del control y de la linea base
