ventana: desde 2026-08-29 (posterior al cambio de regimen de #535)
COTA sobre lo persistido, NO una re-ejecucion. Marcar SOSPECHA.

sensor      umbral hoy  umbral corregido  disparos hoy  sobreviven       %
VIIRS375          3.00              7.41           927         109   11.8%
VIIRS750          3.00              4.58           238          60   25.2%
MODIS             3.00              3.87            20          11   55.0%

volcan                  disparos  sobreviven       %
PuyehueCordonCaulle          149          61   40.9%
Isluga                       115          15   13.0%
Chaiten                      110          11   10.0%
NevadosDeChillan             110          15   13.6%
PlanchonPeteroa              109          14   12.8%
Tupungatito                  108           7    6.5%
Copahue                      106          15   14.2%
Villarrica                   101           7    6.9%
Llaima                        97          15   15.5%
Lastarria                     92          10   10.9%
Lascar                        88          10   11.4%
