identidad del predicado: True
sensor MODIS | ventana ('2026-03-01', '2026-09-21') | alertas de MIROVA con record nuestro: 77
   68  hay deteccion pero distance_class no es summit
    9  PUBLICA
por volcan: {'Lascar': {'hay deteccion pero distance_class no es summit': 68, 'PUBLICA': 8}, 'Villarrica': {'PUBLICA': 1}}
   Lascar             2026-03-01 01:40 | MIROVA 1.81 MW (CONS) | regimen pre535 | dc far | n_px 42 | pc.vrp 0.06 | pc.dist 0.679 | vrp_mw 26.191 | t1 False | z 10.57 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-03-02 07:40 | MIROVA 1.64 MW (CONS) | regimen pre535 | dc far | n_px 63 | pc.vrp 0.59 | pc.dist 1.437 | vrp_mw 66.311 | t1 False | z 21.23 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-03-04 01:55 | MIROVA 0.35 MW (CONS) | regimen pre535 | dc far | n_px 25 | pc.vrp 0.298 | pc.dist 2.695 | vrp_mw 13.215 | t1 False | z 31.3 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-03-04 07:15 | MIROVA 2.28 MW (CONS) | regimen pre535 | dc far | n_px 61 | pc.vrp 0.131 | pc.dist 1.813 | vrp_mw 73.191 | t1 False | z 26.34 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-03-05 07:55 | MIROVA 1.95 MW (CONS) | regimen pre535 | dc far | n_px 45 | pc.vrp 0.852 | pc.dist 3.22 | vrp_mw 47.178 | t1 False | z 47.45 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-03-06 01:35 | MIROVA 1.42 MW (CONS) | regimen pre535 | dc far | n_px 31 | pc.vrp 0.417 | pc.dist 1.524 | vrp_mw 18.453 | t1 False | z 11.2 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-03-07 07:35 | MIROVA 2.70 MW (CONS) | regimen pre535 | dc far | n_px 86 | pc.vrp 2.031 | pc.dist 2.633 | vrp_mw 89.113 | t1 False | z 8.45 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-03-09 01:55 | MIROVA 2.02 MW (CONS) | regimen pre535 | dc far | n_px 26 | pc.vrp 0.238 | pc.dist 2.281 | vrp_mw 15.893 | t1 False | z 30.75 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-03-09 07:10 | MIROVA 1.38 MW (CONS) | regimen pre535 | dc far | n_px 60 | pc.vrp 1.9 | pc.dist 2.293 | vrp_mw 72.142 | t1 False | z 36.97 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-03-10 07:50 | MIROVA 1.97 MW (CONS) | regimen pre535 | dc far | n_px 41 | pc.vrp 1.9 | pc.dist 1.455 | vrp_mw 44.426 | t1 False | z 39.18 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-03-12 07:25 | MIROVA 2.22 MW (CONS) | regimen pre535 | dc far | n_px 67 | pc.vrp 2.359 | pc.dist 2.493 | vrp_mw 73.649 | t1 False | z 5.54 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-03-14 01:55 | MIROVA 2.44 MW (CONS) | regimen pre535 | dc far | n_px 34 | pc.vrp 0.536 | pc.dist 2.895 | vrp_mw 24.584 | t1 False | z 29.73 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-03-14 07:05 | MIROVA 0.97 MW (CONS) | regimen pre535 | dc far | n_px 42 | pc.vrp 0.459 | pc.dist 0.95 | vrp_mw 44.95 | t1 False | z 45.54 | descartado partial_eruption_hotspot_too_far
