identidad del predicado: True
sensor VIIRS375 | ventana ('2026-06-13', '2026-08-28') | alertas de MIROVA con record nuestro: 419
  390  PUBLICA
   17  summit pero isValidDetection falso
   12  sin deteccion (0 pixeles, sin cumulo)
por volcan: {'Lascar': {'PUBLICA': 81, 'summit pero isValidDetection falso': 4, 'sin deteccion (0 pixeles, sin cumulo)': 1}, 'Lastarria': {'PUBLICA': 48, 'summit pero isValidDetection falso': 13, 'sin deteccion (0 pixeles, sin cumulo)': 1}, 'Isluga': {'PUBLICA': 102, 'sin deteccion (0 pixeles, sin cumulo)': 1}, 'Tupungatito': {'PUBLICA': 39, 'sin deteccion (0 pixeles, sin cumulo)': 2}, 'PlanchonPeteroa': {'PUBLICA': 33, 'sin deteccion (0 pixeles, sin cumulo)': 1}, 'NevadosDeChillan': {'PUBLICA': 4, 'sin deteccion (0 pixeles, sin cumulo)': 2}, 'Villarrica': {'PUBLICA': 10}, 'Copahue': {'PUBLICA': 1}, 'PuyehueCordonCaulle': {'PUBLICA': 58, 'sin deteccion (0 pixeles, sin cumulo)': 4}, 'Chaiten': {'PUBLICA': 14}}
   Lascar             2026-06-14 05:00 | MIROVA 0.04 MW (OCR) | regimen pre535 | dc summit | n_px 0 | pc.vrp 0.0 | pc.dist 0.547 | vrp_mw 0 | t1 True | z 63.14 | descartado None
   Lascar             2026-06-22 05:12 | MIROVA 0.09 MW (CONS) | regimen pre535 | dc summit | n_px 0 | pc.vrp 0.0 | pc.dist 0.103 | vrp_mw 0 | t1 True | z 42.58 | descartado None
   Lascar             2026-08-17 05:00 | MIROVA 0.60 MW (OCR) | regimen pre535 | dc None | n_px 0 | pc.vrp None | pc.dist None | vrp_mw 0 | t1 False | z 63.42 | descartado None
   Lascar             2026-08-17 05:18 | MIROVA 0.19 MW (CONS) | regimen pre535 | dc summit | n_px 0 | pc.vrp 0.0 | pc.dist 2.744 | vrp_mw 0 | t1 True | z 40.81 | descartado None
   Lascar             2026-08-21 05:24 | MIROVA 0.37 MW (OCR) | regimen pre535 | dc summit | n_px 0 | pc.vrp 0.0 | pc.dist 0.137 | vrp_mw 0 | t1 True | z 41.15 | descartado None
   Lastarria          2026-06-14 06:06 | MIROVA 0.03 MW (CONS) | regimen pre535 | dc summit | n_px 0 | pc.vrp 0.0 | pc.dist 2.137 | vrp_mw 0 | t1 True | z 39.38 | descartado None
   Lastarria          2026-06-21 06:24 | MIROVA 0.07 MW (CONS) | regimen pre535 | dc None | n_px 0 | pc.vrp None | pc.dist None | vrp_mw 0 | t1 False | z 58.96 | descartado None
   Lastarria          2026-06-22 06:06 | MIROVA 0.04 MW (CONS) | regimen pre535 | dc summit | n_px 0 | pc.vrp 0.0 | pc.dist 2.462 | vrp_mw 0 | t1 True | z 40.44 | descartado None
   Lastarria          2026-06-27 05:54 | MIROVA 0.05 MW (OCR) | regimen pre535 | dc summit | n_px 0 | pc.vrp 0.0 | pc.dist 1.143 | vrp_mw 0 | t1 True | z 11.36 | descartado None
   Lastarria          2026-06-27 06:12 | MIROVA 0.04 MW (CONS) | regimen pre535 | dc summit | n_px 0 | pc.vrp 0.0 | pc.dist 1.156 | vrp_mw 0 | t1 True | z 47.81 | descartado None
   Lastarria          2026-06-30 06:42 | MIROVA 0.07 MW (CONS) | regimen pre535 | dc summit | n_px 0 | pc.vrp 0.0 | pc.dist 1.421 | vrp_mw 0 | t1 True | z 63.76 | descartado None
