identidad del predicado: True
sensor VIIRS750 | ventana ('2026-06-13', '2026-09-21') | alertas de MIROVA con record nuestro: 95
   72  PUBLICA
   23  summit pero isValidDetection falso
por volcan: {'Lascar': {'PUBLICA': 32, 'summit pero isValidDetection falso': 6}, 'Isluga': {'PUBLICA': 12, 'summit pero isValidDetection falso': 3}, 'Tupungatito': {'PUBLICA': 1, 'summit pero isValidDetection falso': 1}, 'PlanchonPeteroa': {'summit pero isValidDetection falso': 3, 'PUBLICA': 2}, 'Villarrica': {'summit pero isValidDetection falso': 3, 'PUBLICA': 5}, 'Copahue': {'PUBLICA': 1}, 'PuyehueCordonCaulle': {'PUBLICA': 18, 'summit pero isValidDetection falso': 7}, 'Chaiten': {'PUBLICA': 1}}
   Lascar             2026-06-22 06:06 | MIROVA 0.29 MW (CONS) | regimen pre535 | dc summit | n_px 1 | pc.vrp 0.0 | pc.dist 0.435 | vrp_mw 0 | t1 False | z 42.4 | descartado None
   Lascar             2026-06-30 05:18 | MIROVA 0.19 MW (CONS) | regimen pre535 | dc summit | n_px 1 | pc.vrp 0.0 | pc.dist 0.533 | vrp_mw 0 | t1 False | z 41.35 | descartado None
   Lascar             2026-06-30 06:06 | MIROVA 0.11 MW (CONS) | regimen pre535 | dc summit | n_px 1 | pc.vrp 0.0 | pc.dist 0.586 | vrp_mw 0 | t1 False | z 41.43 | descartado None
   Lascar             2026-08-27 05:30 | MIROVA 0.22 MW (CONS) | regimen pre535 | dc summit | n_px 1 | pc.vrp 0.0 | pc.dist 0.363 | vrp_mw 0 | t1 False | z 22.15 | descartado None
   Lascar             2026-09-20 06:00 | MIROVA 0.19 MW (CONS) | regimen post535 | dc summit | n_px 1 | pc.vrp 0.0 | pc.dist 0.337 | vrp_mw 0 | t1 False | z 23.64 | descartado None
   Lascar             2026-09-21 05:42 | MIROVA 0.22 MW (CONS) | regimen post535 | dc summit | n_px 2 | pc.vrp 0.0 | pc.dist 0.049 | vrp_mw 0 | t1 False | z 12.14 | descartado None
   Isluga             2026-07-12 05:36 | MIROVA 0.18 MW (CONS) | regimen pre535 | dc summit | n_px 1 | pc.vrp 0.0 | pc.dist 0.835 | vrp_mw 0 | t1 False | z 17.34 | descartado None
   Isluga             2026-08-03 05:24 | MIROVA 0.25 MW (CONS) | regimen pre535 | dc summit | n_px 1 | pc.vrp 0.0 | pc.dist 1.334 | vrp_mw 0 | t1 False | z 37.3 | descartado None
   Isluga             2026-09-05 05:42 | MIROVA 0.24 MW (CONS) | regimen post535 | dc summit | n_px 1 | pc.vrp 0.0 | pc.dist 0.676 | vrp_mw 0 | t1 False | z 27.43 | descartado None
   Tupungatito        2026-08-21 05:48 | MIROVA 0.19 MW (CONS) | regimen pre535 | dc summit | n_px 1 | pc.vrp 0.0 | pc.dist 0.309 | vrp_mw 0 | t1 True | z 5.8 | descartado None
   PlanchonPeteroa    2026-06-16 05:30 | MIROVA 0.33 MW (CONS) | regimen pre535 | dc summit | n_px 1 | pc.vrp 0.0 | pc.dist 0.41 | vrp_mw 0 | t1 True | z 19.3 | descartado None
