
== _s146_ab_control
  VIIRS375  pos                  n  141 | publica  141 | NO publica: cumulo summit con VRP 0:    0 | cumulo fuera o far:    0 | sin cumulo:    0 | otro: 0
  VIIRS375  neg_limpio           n  366 | publica  315 | NO publica: cumulo summit con VRP 0:    4 | cumulo fuera o far:    1 | sin cumulo:   46 | otro: 0
  VIIRS375  rutina_noche_alerta  n  106 | publica   96 | NO publica: cumulo summit con VRP 0:    2 | cumulo fuera o far:    0 | sin cumulo:    8 | otro: 0
  VIIRS750  pos                  n   18 | publica   13 | NO publica: cumulo summit con VRP 0:    5 | cumulo fuera o far:    0 | sin cumulo:    0 | otro: 0
  VIIRS750  neg_limpio           n  613 | publica  131 | NO publica: cumulo summit con VRP 0:   62 | cumulo fuera o far:   14 | sin cumulo:  406 | otro: 0
  VIIRS750  rutina_noche_alerta  n   30 | publica    8 | NO publica: cumulo summit con VRP 0:    6 | cumulo fuera o far:    1 | sin cumulo:   15 | otro: 0

== _s146_ab_sin_test1
  VIIRS375  pos                  n  141 | publica  135 | NO publica: cumulo summit con VRP 0:    4 | cumulo fuera o far:    2 | sin cumulo:    0 | otro: 0
  VIIRS375  neg_limpio           n  366 | publica  105 | NO publica: cumulo summit con VRP 0:   29 | cumulo fuera o far:   29 | sin cumulo:  203 | otro: 0
  VIIRS375  rutina_noche_alerta  n  106 | publica   54 | NO publica: cumulo summit con VRP 0:   15 | cumulo fuera o far:    5 | sin cumulo:   32 | otro: 0
  VIIRS750  pos                  n   18 | publica   13 | NO publica: cumulo summit con VRP 0:    5 | cumulo fuera o far:    0 | sin cumulo:    0 | otro: 0
  VIIRS750  neg_limpio           n  613 | publica   36 | NO publica: cumulo summit con VRP 0:   56 | cumulo fuera o far:   18 | sin cumulo:  503 | otro: 0
  VIIRS750  rutina_noche_alerta  n   30 | publica    3 | NO publica: cumulo summit con VRP 0:    7 | cumulo fuera o far:    1 | sin cumulo:   19 | otro: 0
