perfil                       TEST1  keep_peak max    caja   nube_K   b22
mirova_equivalent            True   True      False  False  0.0      False
_f70_a                       True   True      False  False  0.0      False
_f70_b                       True   True      False  False  0.0      False
_s124_kernelbg_ab            True   True      False  False  0.0      False
_s124_villarrica_op_ab       True   True      False  False  0.0      False
_s125_mag_control            True   True      False  False  0.0      False
_s125_mag_a                  True   True      False  False  0.0      False
_s125_mag_b                  True   True      False  False  0.0      False
_s125_mag_c                  True   True      False  False  0.0      False
_s125_cloudmask_on           True   True      False  False  260.0    False
_s125_cloudmask_off          True   True      False  False  0.0      False
_s126_corona_on              True   True      False  False  0.0      False
_s126_corona_off             True   True      False  False  0.0      False
_s129_ab_control             True   True      False  False  0.0      False
_s129_ab_pool                True   True      False  False  0.0      False
_s130_d18_caja               True   True      False  True   0.0      False
_s130_d18_circulo            True   True      False  False  0.0      False
_s133_area_control           True   True      False  False  0.0      False
_s133_area_geoloc            True   True      False  False  0.0      False
_s133_b22_control            True   True      False  False  0.0      False
_s133_b22_enabled            True   True      False  False  0.0      True
_s135_ab_a_control           True   True      False  False  0.0      False
_s135_ab_b_nokeeppeak        True   False     False  False  0.0      False
_s142_ab_control             True   True      False  False  0.0      False
_s142_ab_literal             True   False     False  False  0.0      False
_s146_ab_control             True   True      False  False  0.0      False
_s146_ab_sin_test1           False  True      False  False  0.0      False
_s147_ab_sin_test1_max       False  True      True   False  0.0      False
_s147_ab_sin_test1_caja      False  True      False  True   0.0      False
experimental                 True   True      False  False  0.0      False
