wrote 56 lines
b post-limpieza (deben mostrar crater, no Salar):
  2026-02-01 01:20 MODIS_TERRA  pc_dist=3.859 dclass=far vrp=53.927
  2026-02-01 07:10 MODIS_AQUA   pc_dist=1.479 dclass=far vrp=130.37
  2026-02-02 02:00 MODIS_TERRA  pc_dist=1.249 dclass=far vrp=5.0
  2026-02-02 07:45 MODIS_AQUA   pc_dist=1.365 dclass=far vrp=80.047
  2026-02-02 07:50 MODIS_AQUA   pc_dist=21.661 dclass=far vrp=5.0
  2026-02-03 01:00 MODIS_TERRA  pc_dist=2.236 dclass=far vrp=5.0
  2026-02-03 06:50 MODIS_AQUA   pc_dist=1.032 dclass=far vrp=191.571
  2026-02-04 01:40 MODIS_TERRA  pc_dist=4.065 dclass=far vrp=49.037
  2026-02-04 07:25 MODIS_AQUA   pc_dist=1.342 dclass=far vrp=56.457
  2026-02-05 02:20 MODIS_TERRA  pc_dist=12.249 dclass=far vrp=53.303
  2026-02-05 08:05 MODIS_AQUA   pc_dist=0.493 dclass=far vrp=119.438
  2026-02-06 01:20 MODIS_TERRA  pc_dist=3.59 dclass=far vrp=19.071
  2026-02-06 07:05 MODIS_AQUA   pc_dist=2.539 dclass=far vrp=73.274
  2026-02-07 02:00 MODIS_TERRA  pc_dist=3.235 dclass=far vrp=21.215
  2026-02-07 07:40 MODIS_AQUA   pc_dist=1.485 dclass=far vrp=134.717
  2026-02-08 01:00 MODIS_TERRA  pc_dist=2.332 dclass=far vrp=125.556
  2026-02-08 06:45 MODIS_AQUA   pc_dist=3.381 dclass=far vrp=5.0
  2026-02-09 01:40 MODIS_TERRA  pc_dist=3.237 dclass=far vrp=22.088
  2026-02-09 07:20 MODIS_AQUA   pc_dist=2.497 dclass=far vrp=80.85
  2026-02-10 02:20 MODIS_TERRA  pc_dist=1.729 dclass=far vrp=79.731
  2026-02-10 08:00 MODIS_AQUA   pc_dist=1.823 dclass=far vrp=140.52
  2026-02-11 01:20 MODIS_TERRA  pc_dist=1.411 dclass=summit vrp=3.62
  2026-02-11 07:00 MODIS_AQUA   pc_dist=0.342 dclass=far vrp=122.089
  2026-02-12 02:00 MODIS_TERRA  pc_dist=3.106 dclass=far vrp=31.605
  2026-02-12 07:35 MODIS_AQUA   pc_dist=1.455 dclass=far vrp=81.1
  2026-02-13 01:00 MODIS_TERRA  pc_dist=1.087 dclass=far vrp=176.921
  2026-02-14 01:40 MODIS_TERRA  pc_dist=2.023 dclass=far vrp=20.359
  2026-02-14 07:15 MODIS_AQUA   pc_dist=1.421 dclass=summit vrp=4.007
  2026-02-15 02:20 MODIS_TERRA  pc_dist=4.742 dclass=far vrp=27.138
  2026-02-15 07:55 MODIS_AQUA   pc_dist=1.536 dclass=far vrp=115.703
  2026-02-16 01:20 MODIS_TERRA  pc_dist=3.746 dclass=far vrp=24.147
  2026-02-16 06:55 MODIS_AQUA   pc_dist=1.974 dclass=far vrp=206.919
  2026-02-17 02:00 MODIS_TERRA  pc_dist=0.98 dclass=far vrp=5.0
  2026-02-17 07:30 MODIS_AQUA   pc_dist=1.612 dclass=far vrp=69.728
  2026-02-18 01:00 MODIS_TERRA  pc_dist=1.747 dclass=far vrp=5.0
  2026-02-18 08:10 MODIS_AQUA   pc_dist=2.815 dclass=far vrp=224.757
  2026-02-19 01:40 MODIS_TERRA  pc_dist=0.416 dclass=far vrp=5.0
  2026-02-19 07:10 MODIS_AQUA   pc_dist=0.328 dclass=far vrp=73.608
  2026-02-20 02:20 MODIS_TERRA  pc_dist=1.502 dclass=far vrp=5.0
  2026-02-20 07:50 MODIS_AQUA   pc_dist=0.636 dclass=far vrp=5.0
  2026-02-21 01:20 MODIS_TERRA  pc_dist=1.414 dclass=far vrp=5.0
  2026-02-21 06:50 MODIS_AQUA   pc_dist=2.503 dclass=far vrp=271.467
  2026-02-22 07:25 MODIS_AQUA   pc_dist=2.039 dclass=far vrp=100.904
  2026-02-23 01:00 MODIS_TERRA  pc_dist=14.609 dclass=far vrp=63.049
  2026-02-23 08:05 MODIS_AQUA   pc_dist=1.209 dclass=far vrp=214.399
  2026-02-24 01:40 MODIS_TERRA  pc_dist=2.268 dclass=far vrp=5.0
  2026-02-24 07:05 MODIS_AQUA   pc_dist=1.459 dclass=far vrp=140.272
  2026-02-25 02:20 MODIS_TERRA  pc_dist=1.24 dclass=far vrp=5.0
  2026-02-25 07:45 MODIS_AQUA   pc_dist=1.52 dclass=far vrp=101.627
  2026-02-26 01:20 MODIS_TERRA  pc_dist=1.997 dclass=far vrp=56.721
  2026-02-26 06:45 MODIS_AQUA   pc_dist=1.419 dclass=far vrp=359.42
  2026-02-27 02:00 MODIS_TERRA  pc_dist=0.941 dclass=summit vrp=0
  2026-02-27 07:20 MODIS_AQUA   pc_dist=2.875 dclass=far vrp=123.825
  2026-02-28 01:00 MODIS_TERRA  pc_dist=24.922 dclass=far vrp=53.535
  2026-02-28 08:00 MODIS_AQUA   pc_dist=2.659 dclass=far vrp=5.0
