LASCAR_FEB_SUMMARY (numeros reales del script)
total=33
no_match_stale=10
recoverable_by_reselect=0
crater_present_still_nomatch=2
detection_loss_needs_reproc=8

NO_MATCH_ROWS (stale_ok=False):
night       sens         mir  stale  resel   rOK crater   near  ncl
2026-02-08  MODIS        1.0   18.4   8.29 False  False   8.29   33
2026-02-09  MODIS        1.0  23.38   6.71 False  False   6.71   10
2026-02-10  MODIS        1.0  27.25   7.41 False  False   7.41   17
2026-02-11  MODIS       1.41  24.21   3.76 False   True   3.76   22
2026-02-12  MODIS       1.41   29.6  10.51 False  False  10.51   13
2026-02-14  MODIS       1.41  17.73  14.67 False  False  14.67    6
2026-02-14  VIIRS375    3.33   1.05   1.06 False   True   1.06    3
2026-02-15  MODIS       1.41   31.2   7.37 False  False   7.37   20
2026-02-27  MODIS        2.0  23.25   9.47 False  False   9.47   10
2026-02-28  MODIS        1.0  20.03   6.34 False  False   6.34   30
